# Work, school, money, legal help, IDs, veterans, disability and seniors in the 71 places added on 2026-09-24
# (every city and township a DDOT or SMART bus reaches: 24 in Wayne, 32 in Oakland, 15 in Macomb). Batch `work-money-legal`.
# Categories: jobs.find, jobs.training, learn.school, learn.english, money.tax, money.benefits, legal, legal.immigration,
# ids, veterans, disability, seniors. (ids.mail: nothing found; see the end of this file.)
# Method: read on each organization's own site (or its own page on its city's, county's or the State's official site)
# on 2026-09-24, with a page reader that sends the same user agent as `pnpm check:sources` and extracts the page text the
# same way; WebFetch or a browser only where a site refuses scripts (those lines carry a `# BROWSER:` comment). Web search
# was used only to find sites, and ran out part way (session budget); after that, pages were found by following links
# from owners' home pages and reading their sitemaps. No fact comes from a search snippet or a directory.
# Every line (except the BROWSER ones) was checked the way check:sources will: the source_url page shows the phone
# (and phone2) and the street address. Rows with no phone show their house number and street on the source page.
# "Free" appears only where the owner's page says free / no cost. No staff names, no emails.
# Flags use `appointment_required` (docs/03), not `appointment`.
# Per-line notes for the steward are `# note:` lines directly above the line they concern.
# name | org | category | what | address | city | zip | phone | website | schedule | eligibility | source_url | extras

# ======== jobs ========
# Help finding a job (jobs.find) and free job training (jobs.training) in the 71 places added on 2026-09-24.
# Read on each organization's own site (or its own page on its county's site) on 2026-09-24, with the project's
# page reader (the same fetch pnpm check:sources uses) and, where a site refuses scripts, WebFetch. Web search was used
# only to find sites; no fact comes from a search snippet or a directory.
# Notes for the steward:
# - Oakland County Michigan Works! runs its centers through partners: Goodwill of Greater Detroit runs Pontiac and
#   Novi (goodwilldetroit.org), the Troy School District runs Troy, Gesher Human Services runs Waterford. The county's
#   own page (oaklandcountymi.gov/business/workforce-development/about) lists Novi, Oak Park, Pontiac, Troy and
#   Waterford, says the services are free, and lists "Tuition Assistance for Education/Training".
# - NOT listed on purpose: Oak Park (22180 Parklawn) — the county page says "*Closing September 25, 2026". Southfield
#   (21415 Civic Center Dr) closed June 30, 2026; the county says a new center for southern Oakland County "will open in
#   early Fall 2026". Add it when the county names the address.
# - SEMCA Michigan Works! (semcamiworks.org) refuses scripts (403). Its Wayne and Wyandotte centers are sourced from
#   the Downriver Community Conference's pages (dccwf.org), which operates them and which scripts can read. SEMCA's own
#   page (read with WebFetch) gives the Wyandotte center's phone as 734.362.3466; DCC's pages give 734-362-7070 and
#   say "please call 734-362-7070". We list DCC's number. SEMCA's Livonia and Southgate centers are gone (Southgate
#   moved to Wyandotte).
# - Macomb/St. Clair Michigan Works! centers print "Hours 8am - 5pm (Excluding Holidays)" with no days, so they arrive
#   call-first. The Port Huron center is outside the area.
# - Not repeated here because another file in this batch already has them: Chaldean Community Foundation job help,
#   Sterling Heights (part-learn.txt) and STEP Western Wayne job coaching, Westland (part-vd.txt).
Michigan Works! Novi service center | Oakland County Michigan Works! | jobs.find | Free help finding a job: computers, job search tools, workshops on resumes and interviews, job fairs and career coaching. Help with an unemployment claim. Some programs can help pay for training. | 31186 Beck Road | Novi | 48377 | (248) 926-1820 | https://www.oaklandcountymi.gov/business/workforce-development | Mon-Fri 8am-5pm | Open to everyone. Some programs have rules about who can join. For same-day help with an unemployment claim, come by 3:30pm. | https://www.goodwilldetroit.org/career-centers/michigan-works-novi/ |
Michigan Works! job center, Wyandotte | SEMCA Michigan Works! | jobs.find | Help finding a job, career exploration, skills tests, resumes, practice interviews and training. This center moved here from Southgate. | 2121 Biddle Ave | Wyandotte | 48192 | 734-362-7070 | https://semcamiworks.org | Mon-Fri 8am-5pm | | https://dccwf.org/ |
# note: Gesher Human Services was JVS Human Services (jvshumanservices.org now leads to geshermi.org). The job-help
# line 248.233.4245 is on the careers page, not the contact page, hence phone2_source_url.
Job search help, Gesher Southfield | Gesher Human Services | jobs.find | Career coaching, help with resumes, cover letters and LinkedIn, and practice interviews. A free 4-week Women to Work group for women who have been out of work. | 29699 Southfield Rd. | Southfield | 48076 | (248) 559-5000 | https://www.geshermi.org/ | Call first | Make an appointment with a career coach. | https://www.geshermi.org/get-in-touch/ | flags=appointment_required; phone_label=Main line; phone2=248-233-4245; phone2_label=Job search help; phone2_source_url=https://www.geshermi.org/careers-employment/
# note: the page does not say what the computer classes cost. Its events list calls the Friday open lab "Free of charge
# and no appointment needed". Check the class cost before this is shown as free training.
Computer classes for work, Gesher Southfield | Gesher Human Services | jobs.training | Computer classes for work, from the basics to office programs like Microsoft Excel. A drop-in computer lab on Fridays. | 29699 Southfield Rd. | Southfield | 48076 | (248) 233-4243 | https://www.geshermi.org/ | Drop-in lab Fridays 10am-1pm. Call for class times. | | https://www.geshermi.org/get-in-touch/ | phone_label=Hermelin ORT Resource Center
# note: ACC now calls itself America's Community Council (it was the Arab American and Chaldean Council). Its directory
# page, the source here, carries unrelated spam text in its menu (drug names) — the site may be compromised; a person
# should look before this is published. The program is funded through Oakland County Michigan Works! (PATH).
English and job help for new arrivals, Troy | Americas Community Council | jobs.find | Classes to build English and job skills: job search help, getting ready for work, computer skills, money skills and citizenship classes. | 363 W. Big Beaver Rd., Suite 235 | Troy | 48084 | (248) 588-1994 | https://myacc.org/ | Call first | For people with limited English. One part of the program is for refugees. | https://myacc.org/directory/ | flags=immigrants
Free welding and CNC training (M3), Warren | Macomb Community College | jobs.training | Free fast-track training in CNC machining or welding for jobs building ships and submarines. Tuition, supplies and equipment are paid for by a grant. You earn a Macomb certificate. | 7900 Tank Avenue | Warren | 48092 | 586-445-7999 | https://www.macomb.edu/ | Call first | Ages 18 and older. No manufacturing experience needed. Veterans can join. | https://www.macomb.edu/programs-courses/maritime-manufacturing-training.html | phone_label=College main line
# note: OCC's other short-term programs (CNA, CNC, computer support, construction) cost $1,600-$6,400 and are not
# listed. These two pre-apprenticeships say "no cost" (an employer-funded grant). Classes run in cohorts with set start
# dates; the phone is the program coordinator's line printed on the page.
Free skilled trades pre-apprenticeship, OCC Auburn Hills | Oakland Community College | jobs.training | Free fast-track classes to get ready for a skilled trades job or a paid apprenticeship: blueprint reading, safety, measuring and shop math. The 6-week Industrial Readiness class includes welding; the 5-week Prep for Industry class does not. Training, books and the application are free. | 2900 Featherstone Road | Auburn Hills | 48326 | (248) 232-4552 | https://www.oaklandcc.edu/ | Classes meet Mon-Fri 8am-4pm in groups with set start dates. Call first. | Ages 18 and older (or turning 18 before the class ends). | https://www.oaklandcc.edu/training-programs/industrial-readiness | phone_label=Program coordinator

# ======== learn ========
# learn.school (GED, high school diploma, adult reading) and learn.english (English classes for adults)
# in the 71 new places (Wayne 24, Oakland 32, Macomb 15). Researched 2026-09-24.
# Method: every fact read on each organization's own site (school district, college, literacy council, library)
# with the project's page reader (same user agent as check:sources) on 2026-09-24; web search used only to find sites.
# "Free" is written only where the owner's page says free / no cost / no fees.
Free GED and diploma classes, Livonia | Livonia Public Schools Adult Education | learn.school | High school diploma classes, GED prep, and basic math and English skills, in person. Classes run September to May. No fees if you qualify. | 34633 Munger Street | Livonia | 48154 | 734-744-2607 | https://www.livoniapublicschools.org/ | Tue, Thu 5:30pm-7:30pm | Age 18 or older by July 1, and your high school class has already graduated. Bring a photo ID on the first day. | https://www.livoniapublicschools.org/programs/adult-education | phone_label=Adult Ed office
# note: Livonia ESL: the page lists no ESL phone; the number is the district's main line, printed on the ESL page. Classes also run noon-3pm (no beginners) and 5-8pm; Wednesday is for testing.
English classes for adults, Livonia | Livonia Public Schools Adult ESL | learn.english | English classes for adults at beginning, middle and advanced levels, at the Cass Education Center (door 31). Registration fees are waived right now, the page says. | 34633 Munger | Livonia | 48154 | 734-744-2500 | https://www.livoniapublicschools.org/ | Mon, Tue, Thu 8:30am-11:30am & noon-3pm & 5pm-8pm | Adults. Bring a picture ID and Social Security card to the office before your first class. | https://www.livoniapublicschools.org/programs/adult-esl | phone_label=Livonia Public Schools main line
# note: Oakland Literacy Council: tutoring meets at a library near you or online; the Pontiac office is where to call. The schedule is the office's hours. A one-time $45 testing fee (can be waived for hardship); tutoring is free after that (oaklandliteracy.com/become-a-student/).
Free GED and reading tutoring, Oakland Literacy Council | Oakland Literacy Council | learn.school | Free one-on-one tutoring with a trained volunteer for the GED, reading, writing, math and computer skills. Two hours a week, at a library near you or online. | 51111 Woodward Ave., Suite 720 | Pontiac | 48342 | (248) 253-1617 | https://www.oaklandliteracy.com/ | Mon-Thu 8:30am-4:30pm; Sat 8:30am-4:30pm | Adults 18 and older who live, work or go to school in Oakland County. There is a one-time $45 testing fee, which can be waived for hardship. | https://www.oaklandliteracy.com/contact-us/ |
Free English tutoring, Oakland Literacy Council | Oakland Literacy Council | learn.english | Free one-on-one English tutoring with a trained volunteer: reading, listening and speaking. Two hours a week, at a library near you or online. | 51111 Woodward Ave., Suite 720 | Pontiac | 48342 | (248) 253-1617 | https://www.oaklandliteracy.com/ | Mon-Thu 8:30am-4:30pm; Sat 8:30am-4:30pm | Adults 18 and older who live, work or go to school in Oakland County. There is a one-time $45 testing fee, which can be waived for hardship. | https://www.oaklandliteracy.com/contact-us/ | flags=immigrants
Free GED and diploma classes, Southgate (Asher) | Southgate Community Schools, Asher Adult Education | learn.school | Free high school diploma classes and GED prep. Day or evening classes, in person or online. | 12601 McCann Ave | Southgate | 48195 | 734-246-4633 | https://www.southgateschools.com/ | Call first | Adults. Asher's own site says adult education is for people 22 and older. | https://www.southgateschools.com/prog/asher-adult-education |
Free English classes, Southgate (Asher) | Southgate Community Schools, Asher Adult Education | learn.english | Free English (ESL) classes for adults. Day or evening classes, in person or online. | 12601 McCann Ave | Southgate | 48195 | 734-246-4633 | https://www.southgateschools.com/ | Call first | Adults. Asher's own site says adult education is for people 22 and older. | https://www.southgateschools.com/prog/asher-adult-education | flags=immigrants
# note: Walled Lake: all classes are at Walled Lake Central High School (mailing city Walled Lake). The adult-ed page (wlcsd.org/programs/adult-education) gives the class times, the fee and the 248-956-5020 line but not the school's street address, so source_url is the school's own page (address + main line) and the adult-ed line rides as phone2 with its own page. The class nights are not named on the page; registration is Tue and Thu nights. One-time $25 registration fee; no charge for the classes. Childcare during class for enrolled parents.
GED classes, Walled Lake | Walled Lake Consolidated Schools Adult Education | learn.school | GED prep classes, September to May, evenings 5:30pm to 8:30pm. Math and reading lessons plus computer practice. No charge for the classes; a one-time $25 sign-up fee. Childcare during class. | 1600 Oakley Park Road | Walled Lake | 48390 | (248) 956-4700 | https://www.wlcsd.org/ | Call first | Adults. Bring a picture ID to sign up. | https://central.wlcsd.org/ | phone_label=Walled Lake Central; phone2=(248) 956-5020; phone2_label=Adult education sign-up; phone2_source_url=https://www.wlcsd.org/programs/adult-education
English classes, Walled Lake | Walled Lake Consolidated Schools Adult Education | learn.english | English (ESL) classes in four levels, evenings 5:30pm to 8pm, September to May. No charge for the classes; a one-time $25 sign-up fee. Childcare during class. | 1600 Oakley Park Road | Walled Lake | 48390 | (248) 956-4700 | https://www.wlcsd.org/ | Call first | Adults. Bring a picture ID to sign up. | https://central.wlcsd.org/ | phone_label=Walled Lake Central; phone2=(248) 956-5020; phone2_label=Adult education sign-up; phone2_source_url=https://www.wlcsd.org/programs/adult-education; flags=immigrants
Free GED and diploma classes, Romulus | Romulus Adult Education | learn.school | Free GED prep and free high school diploma classes, all year. Work online at your own pace and meet a teacher online or in person. Free GED test vouchers when you pass the practice tests. | 9650 Wayne Rd. | Romulus | 48174 | (734) 532-1403 | https://rae.romulusk12.org/ | Call first | You must be 18 by September 1. | https://rae.romulusk12.org/apps/pages/index.jsp?uREC_ID=2873399&type=d |
# note: Pontiac adult ed: classes are at Pontiac High School; the page names High School Completion, GED, ABE and ESL. It says nothing about fees.
GED and diploma classes, Pontiac | School District of the City of Pontiac, Adult & Alternative Education | learn.school | Evening classes to finish high school or get your GED, plus basic reading and math (ABE). Call or come to Pontiac High School to sign up. | 1051 Arlene St. | Pontiac | 48340 | 248.451.7413 | https://www.pontiac.k12.mi.us/ | Mon-Wed 4:30pm-7:30pm | Adults. | https://www.pontiac.k12.mi.us/programs/adult-alternative-education | phone_label=Adult Education Office
English classes, Pontiac | School District of the City of Pontiac, Adult & Alternative Education | learn.english | Evening English (ESL) classes for adults at Pontiac High School. Call or come by to sign up. | 1051 Arlene St. | Pontiac | 48340 | 248.451.7413 | https://www.pontiac.k12.mi.us/ | Mon-Wed 4:30pm-7:30pm | Adults. | https://www.pontiac.k12.mi.us/programs/adult-alternative-education | phone_label=Adult Education Office; flags=immigrants
# note: Novi GED: classes are Monday and Wednesday evenings at the ROAR Center; the page gives no times, so call first. Sign-up is August to March. Neither Novi page mentions a fee.
GED and diploma classes, Novi | Novi Community School District, Novi Adult Education | learn.school | GED prep classes on Monday and Wednesday evenings, and a high school diploma program (online, with in-person help). Help with career plans and Michigan Works! services. | 41500 Gardenbrook Road | Novi | 48375 | 248-449-1717 | https://cp.novi.k12.mi.us/ | Call first | Age 18 or older. Bring a photo ID to sign up. | https://cp.novi.k12.mi.us/adult-education/ged-prep-clone |
# note: Novi ESL: fall 2026 registration is closed and classes are full; there is an interest list, and the next registration is January 19-20, 2027. The schedule is the class times on the page (morning classes meet Mon/Wed or Tue/Thu; afternoon Mon-Wed; evening Mon/Wed).
English classes, Novi | Novi Community School District, Novi Adult ESL | learn.english | English classes for adults in five levels, mornings, afternoons or evenings, September to May, at the ROAR Center. | 41500 Gardenbrook Road | Novi | 48375 | 248-449-1717 | https://cp.novi.k12.mi.us/ | Mon, Wed 9:30am-12:30pm & 1pm-3pm & 6pm-9pm; Tue 9:30am-12:30pm & 1pm-3pm; Thu 9:30am-12:30pm | Anyone 18 or older. You do not need to live in Novi. | https://cp.novi.k12.mi.us/novi-adult-esl | flags=immigrants
GED and diploma classes, Rochester Hills (RACE) | Rochester Community Schools, Rochester Adult Center for Education (RACE) | learn.school | In-person computer classes for a high school diploma or GED, twice a week. New semesters start in August, November and March. Register by appointment. | 1440 John R. Road | Rochester Hills | 48307 | 248 726 5952 | https://www.rochester.k12.mi.us/schools/race | Mon-Thu 3pm-6pm & 6:30pm-9:30pm | Age 18 by July 1, and your high school class has already graduated. Bring your driver's license. Enter at the south entrance, door 4. | https://www.rochester.k12.mi.us/schools/race/general-educational-development-ged |
# note: RACE ESL: free classes (beginning, low intermediate, high intermediate); the winter semester starts January 19, 2027 and fall registration is closed. An advanced conversation class costs $150 a semester. Office Mon-Thu 9am-9pm in the school year, closed in July.
Free English classes, Rochester Hills (RACE) | Rochester Community Schools, Rochester Adult Center for Education (RACE) | learn.english | Free English classes for adults at beginning and intermediate levels. No sign-up fee. Sign up in person at the south entrance, door 4. | 1440 John R. Road | Rochester Hills | 48307 | 248 726 5952 | https://www.rochester.k12.mi.us/schools/race | Call first | Age 18 by July 1. Bring a valid ID or passport. No children at sign-up. | https://www.rochester.k12.mi.us/schools/race/english-as-a-second-language-esl | flags=immigrants
GED and diploma classes, Royal Oak | Royal Oak Schools, Royal Oak Adult Education | learn.school | GED prep and high school diploma classes, September to mid-June, at the OCC Royal Oak campus or online. There is a $30 sign-up fee. | 739 S Washington Ave | Royal Oak | 48067 | (248) 246-2586 | https://roae.royaloakschools.org/ | Call first | Age 18 or older by July 1. Bring a photo ID. Make a testing appointment first. | https://roae.royaloakschools.org/hs_completion |
English classes, Royal Oak | Royal Oak Schools, Royal Oak Adult Education | learn.english | Day and evening English classes for adults, September to May, at the OCC Royal Oak campus. There is a $40 yearly sign-up and testing fee. | 739 S Washington Ave | Royal Oak | 48067 | 248-246-2583 | https://roae.royaloakschools.org/ | Call first | Adults who can read in any language. Appointment needed; no walk-ins. Bring an ID or passport and your Social Security number. No children at sign-up. | https://roae.royaloakschools.org/english_as_a_second_language | phone_label=ESL; phone2=(248) 246-2586; phone2_label=Main office; flags=immigrants,appointment_required
# note: Troy HSC/GED: the page says both "No Registration Fee, Classes are FREE" and "A $40 non-refundable registration fee is required, otherwise, classes are FREE for eligible students"; the line says the second. Classes are online; the lab hours are the in-person extra help.
GED and diploma classes, Troy | Troy School District, Troy Continuing Education | learn.school | Earn a high school diploma or get ready for the GED or HiSET. Study online at your own pace with a teacher's help, plus an in-person computer lab. Classes are free for eligible students; the page also lists a $40 registration fee. | 1522 East Big Beaver Road | Troy | 48083 | (248) 823-5100 | https://www.troyceonline.com/ | Tue-Thu 9:30am-12:30pm; Tue, Thu 6pm-9pm | Age 18 or older, with reading and math above a 5th-grade level. Bring a picture ID and Social Security card. | https://www.troyceonline.com/enrollment-k12/hscgedhiset-edu |
# note: Troy ESL: the page says only that ESL registration is closed and opens again in early January; it gives no class times or fees.
English classes, Troy | Troy School District, Troy Continuing Education | learn.english | English (ESL) classes for adults at the Troy Learning Center. Sign-up is closed now and opens again in early January. | 1522 East Big Beaver Road | Troy | 48083 | (248) 823-5100 | https://www.troyceonline.com/ | Call first | Adults. | https://www.troyceonline.com/enrollment-k12/esl-english-as-a-second-language | flags=immigrants
English classes, West Bloomfield | West Bloomfield School District Adult Education | learn.english | English classes for adult English learners. Call or email to make a sign-up appointment. | 7071 Orchard Lake Road Suite 100 | West Bloomfield Township | 48322 | (248)539-2390 | https://www.wbsd.org/ | Call first | Age 18 or older, from any school district. | https://www.wbsd.org/departments/community-education/adult-education | flags=immigrants,appointment_required
# note: Birmingham ESL: the class facts (hybrid, September-May, free for qualifying beginning and intermediate students) are on communityed.net; the contact page used as source_url has the office address in Seaholm High School and the phone.
English classes, Birmingham | Birmingham Public Schools Community Education | learn.english | Daytime English classes for adults, in person and online, September to May. Free for qualifying beginning and intermediate students. New students join when there is space. | 2436 W. Lincoln Road, F102 | Birmingham | 48009 | 248.203.3800 | http://www.communityed.net/ | Call first | Adults. You take an English test to be placed in a class. | https://birmingham.augusoft.net/connect/fusebox1/1003? | flags=immigrants
# BROWSER: Free GED classes, Huron Valley — site refuses scripts
# note: Huron Valley: read in a browser on 2026-09-24 (hvs.org GED and Contact pages). Classes are free; ask about GED test fee waivers. Daytime Mon/Wed 9:30am-1:30pm, evening Tue/Thu 5:45pm-9:45pm, 15 weeks a semester, at the Oak Valley Center (Commerce Twp).
Free GED classes, Huron Valley | Huron Valley Schools Adult Education | learn.school | Free GED prep classes with a teacher and computer lessons. You can take the GED test there too. Day or evening classes. | 4200 White Oak Trail | Commerce Township | 48382 | (248) 676-8398 | https://www.hvs.org/o/adult-ed | Mon, Wed 9:30am-1:30pm; Tue, Thu 5:45pm-9:45pm | Age 18 or older, and your high school class has graduated. Photo ID needed. | https://www.hvs.org/o/adult-ed/page/contact |
# BROWSER: Free English classes, Huron Valley — site refuses scripts (hvs.org serves a script challenge most of the time; this page passed vf.mts once on 2026-09-24)
# note: Huron Valley ESL: the page says classes are held at the Brooks Center in White Lake but gives no street address for it, so the row carries the Oak Valley Center (the adult-ed office, 4200 White Oak Trail, Commerce Twp), which is printed on the same page. A steward may want to find the Brooks Center's address on an HVS page.
Free English classes, Huron Valley | Huron Valley Schools Adult Education | learn.english | Free English and civics classes for adults. Classes are at the Brooks Center in White Lake; call the adult-ed office to sign up. Friday conversation class too. | 4200 White Oak Trail | Commerce Township | 48382 | (248) 676-8398 | https://www.hvs.org/o/adult-ed | Mon, Wed 9:30am-1:30pm; Tue, Thu 6pm-9pm; Fri 10am-noon | Foreign-born adults. You do not need to live in the Huron Valley district. | https://www.hvs.org/o/adult-ed/page/esl | flags=immigrants
# BROWSER: English classes, Farmington Hills — site refuses scripts
# note: Farmington ESL: read in a browser on 2026-09-24 at farmington.k12.mi.us/page/adult-esl. Fall 2026: in-person mornings Mon-Thu 9am-noon (all levels) and online evenings 6-9pm (intermediate-advanced). A voluntary $50 cash donation per semester. Spring testing January 11-14. Daytime child care for enrolled parents (waitlist).
English classes, Farmington Hills | Farmington Public Schools Adult ESL | learn.english | English classes for adults in the morning at the school (all levels), or online in the evening. U.S. civics too. Asked to give a $50 donation per semester, but it is voluntary. | 30175 Highmeadow Road | Farmington Hills | 48334 | (248) 489.3827 | https://www.farmington.k12.mi.us/ | Mon-Thu 9am-noon | Age 18 or older. Bring a photo ID. You must come 3 to 4 days a week. | https://www.farmington.k12.mi.us/page/adult-esl | flags=immigrants
# --- Macomb (Macomb ISD names five districts that run adult education: Chippewa Valley, Lake Shore, L'Anse Creuse, Utica, Warren Woods; misd.net/AdultEducation) ---
Free GED classes, Clinton Township (Pellerin Center) | L'Anse Creuse Public Schools, Center for Lifelong Learning | learn.school | Free GED classes in a learning lab where you work at your own pace, with books and computer programs. GED testing center on site. | 24001 Frederick V. Pankow Blvd. | Clinton Township | 48036 | (586) 783-6420 ext. 1223 | https://www.lc-ps.org/ | Mon-Thu 2:30pm-8pm | Adults. Call between 10am and 1pm to ask about GED classes. | https://www.lc-ps.org/programs/adult-education/ | phone_label=Adult education office
# note: L'Anse Creuse ESL: the page says the Pellerin Center houses English as a Second Language and Civics, but gives no ESL times or fees ("free" on the page is said of the GED program).
English and civics classes, Clinton Township (Pellerin Center) | L'Anse Creuse Public Schools, Center for Lifelong Learning | learn.english | English (ESL) and civics classes for adults at the Pellerin Center. Call for times. | 24001 Frederick V. Pankow Blvd. | Clinton Township | 48036 | (586) 783-6420 ext. 1223 | https://www.lc-ps.org/ | Call first | Adults. | https://www.lc-ps.org/programs/adult-education/ | phone_label=Adult education office; flags=immigrants
# note: Chippewa Valley diploma/GED: the page prints the office number as "(568)723-2050" (area code typo); the correct-looking 586-723-2050 is printed on the ESL page and rides as phone2 from there. The line's phone is the academic advisor's number printed on the diploma/GED page. Computer lab hours on the page are for 2025-2026, so call first. Everyone must go to an orientation first.
