# Food bank stops and drive-up pantries in the four cities, 2026-09-20. Forgotten Harvest and Gleaners own the facts
# about their own distributions (DECISIONS 2026-09-19); each row's source is that food bank's own page. Notes and held
# rows: docs/research/2026-09-19-new-help/entry-food-gaps.md.
Mobile food pantry at Body Of Christ International | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 9555 St. Mary’s St | Detroit | 48227 | 248-967-1500 | https://www.forgottenharvest.org/ | Some Fridays 9am-11:30am. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/ | phone_label=Forgotten Harvest main line; notice=Forgotten Harvest's list showed this stop on both Fridays in the two weeks read on Sep 19, 2026.
Mobile food pantry at Second Canaan Outreach Ministry | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 9435 Hayes St | Detroit | 48213 | 248-967-1500 | https://www.forgottenharvest.org/ | Some Thursdays 10am-1pm. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/ | phone_label=Forgotten Harvest main line
Mobile food pantry at Lift Up a Child at Greater St. Paul | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 15325 Gratiot Ave | Detroit | 48205 | 248-967-1500 | https://www.forgottenharvest.org/ | Some Thursdays 2pm-4pm. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/ | phone_label=Forgotten Harvest main line
Mobile food pantry at Greater Emmanuel Institutional C.O.G.I.C | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 19190 Schaefer | Detroit | 48235 | 248-967-1500 | https://www.forgottenharvest.org/ | Some Saturdays noon-2pm. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/ | phone_label=Forgotten Harvest main line
Gleaners drive-up food at the Ford Community and Performing Arts Center | Gleaners Community Food Bank | food.mobile | Free groceries from a Gleaners truck. Stay in your car. It ends when the food runs out. | 15801 Michigan Ave | Dearborn | 48126 | | | Some Tuesdays 9am-10am. Gleaners lists the dates ahead on its pantrynet.org map. | | https://pantrynet.org/wp-json/pantrynet/v1/locations | notice=Gleaners lists Sep 22, Oct 20, Nov 3, Nov 17, Dec 1 and Dec 15, 2026, then every two to four weeks into 2027.
Gleaners Fresh Market at Western International High School | Gleaners Community Food Bank | food.mobile | Free groceries from a Gleaners truck. Stay in your car. It ends when the food runs out. | 1500 Scotten St | Detroit | 48209 | | | Wednesdays 4:30pm-6pm. Gleaners' weekly hours for this site say 4:30pm-6:30pm. | | https://pantrynet.org/wp-json/pantrynet/v1/locations | notice=Gleaners lists weekly Wednesday dates from Sep 23 to Dec 23, 2026, with Dec 30 canceled.
Gleaners drive-up food at MISide | Gleaners Community Food Bank | food.mobile | Free groceries from a Gleaners truck. Stay in your car. It ends when the food runs out. | 3553 West Vernor Hwy. | Detroit | 48216 | | | Some Thursdays 1:30pm-2:30pm. Gleaners lists the dates ahead on its pantrynet.org map. | | https://pantrynet.org/wp-json/pantrynet/v1/locations | notice=Gleaners lists Sep 24, Oct 8 and Oct 22, 2026, then every two to four weeks into 2027.
Gleaners drive-up food at New Paradigm School | Gleaners Community Food Bank | food.mobile | Free groceries from a Gleaners truck. Stay in your car. It ends when the food runs out. | 4001 29th Street | Detroit | 48210 | | | Some Fridays 9am-10am. Gleaners lists the dates ahead on its pantrynet.org map. | | https://pantrynet.org/wp-json/pantrynet/v1/locations | notice=Gleaners lists Sep 25, Oct 9 and Oct 23, 2026, then every two to four weeks into 2027.
Gleaners drive-up food at Perfecting Community Church | Gleaners Community Food Bank | food.mobile | Free groceries from a Gleaners truck. Stay in your car. It ends when the food runs out. | 7616 Nevada St. | Detroit | 48234 | | | About one Wednesday a month, 1:30pm-2:30pm. Gleaners lists the dates ahead on its pantrynet.org map. | | https://pantrynet.org/wp-json/pantrynet/v1/locations | notice=Gleaners lists Sep 23, Oct 21, Nov 18 and Dec 16, 2026, then about every four weeks into 2027.
Gleaners drive-up food at Urban Neighborhood Initiative | Gleaners Community Food Bank | food.mobile | Free groceries from a Gleaners truck. Stay in your car. It ends when the food runs out. | 8300 Longworth | Detroit | 48209 | | | Some Fridays and Sundays 1:30pm-2:30pm. Gleaners lists the dates ahead on its pantrynet.org map. | | https://pantrynet.org/wp-json/pantrynet/v1/locations | notice=Gleaners lists Fridays from Sep 25, 2026 and Sundays as well, most weeks, into 2028.
Gleaners walk-up food at Urban Neighborhood Initiative | Gleaners Community Food Bank | food.mobile | Free groceries you carry home. No car needed. It ends when the food runs out. | 8300 Longworth | Detroit | 48209 | | | Some Fridays 9am-10am. Gleaners lists the dates ahead on its pantrynet.org map. | No proof of address needed. | https://pantrynet.org/wp-json/pantrynet/v1/locations | flags=walk_in; notice=Gleaners lists Sep 25, Oct 2, Oct 9, Oct 23, Nov 6, Nov 20 and Dec 4, 2026, then about every two weeks into 2027.
