# Kids, goods and community help in the 71 new places (area widened 2026-09-24, DECISIONS).
# Categories: kids.care, kids.prek, youth, youth.advocacy, rec.center, connect, transport, pets, goods.clothes, goods.baby,
#   goods.home, goods.personal, assault. rec.library comes from the federal-library batch.
# Method: each fact read on the organization's own site (or its city/county's official page) with the pipeline's own
#   honest user agent or WebFetch on 2026-09-24; web search used only to find sites. Every line was run through the
#   importer's parser and the check:sources matcher by the researcher; # BROWSER lines are sites that refuse scripts.
# Combined by the lead from six researched parts. Per-line steward notes stay directly above their lines.

# ---- part: part-connect-transport-pets.txt ----
# NOTE: Hours printed twice on the page: the new hours (from July 13, 2026) close Sundays and Mondays; an older paragraph lower down still says "open Monday". We use the new hours. Free rabies shot is with the purchase of a dog license, Fridays 9am-noon.
Oakland County Animal Shelter | Oakland County Animal Shelter and Pet Adoption Center | pets | The county animal shelter: look for a lost pet, adopt a dog or cat, and buy a dog license. Free rabies shot for your dog when you buy its license, Fridays 9am to noon. Ask about help with end-of-life care for a pet. | 1200 North Telegraph Road, Building 42E | Pontiac | 48341 | 248-858-1070 | https://www.oakgov.com/community/pet-adoption | Tue 10am-7pm; Wed 10am-5pm; Thu 10am-7pm; Fri 10am-5pm; Sat 10am-4pm | | https://www.oakgov.com/community/pet-adoption | phone_label=Pet Adoption Center; phone2=248-858-1090; phone2_label=Animal Control
# NOTE: The Humane Society prints "Utica, MI 48317" (the post office name); 22 Mile Road is in Shelby Township, north of the City of Utica. Please confirm the city.
Pet food bank, Humane Society of Macomb | Humane Society of Macomb | pets | If you are struggling to feed your pet, call about their pet food bank. There is an application. | 11350 22 Mile Road | Shelby Township | 48317 | 586-731-9210 | https://humanesocietyofmacomb.org | Call first | | https://humanesocietyofmacomb.org/lost-pet-resources-pet-surrender/
# NOTE: Same building as the line above (Utica mailing address, Shelby Township). The clinic says its prices are "affordable"; it prints no prices.
Humane Society of Macomb Animal Clinic | Humane Society of Macomb | pets | Vet care for any dog or cat at the Humane Society's clinic: shots, checkups, spay and neuter, dental care and more. They say their prices are affordable. Call for an appointment. | 11350 22 Mile Rd | Shelby Township | 48317 | (586)739-6870 | https://hsmacombclinic.com | Mon-Fri 9am-6pm | Pets from any area, not just Macomb County. | https://hsmacombclinic.com/ | flags=appointment_required
# NOTE: SMART Connector (866-962-5515) is already listed with no address; this is SMART's own ticket office door in Royal Oak, same phone line (press 3 for the Transit Centers).
SMART Royal Oak Transit Center | SMART | transport | Buy SMART bus passes in person with cash, credit or debit. Ask about reduced fares and how to ride. | 202 Sherman Drive | Royal Oak | | (866) 962-5515 | https://www.smartbus.org | Mon-Fri 8:30am-5pm; Sat 9am-noon | | https://www.smartbus.org/About/Contact | flags=walk_in; phone_label=SMART Customer Care (press 3 for the Transit Centers)
Liv&Go rides in Livonia | City of Livonia | transport | Rides in Livonia to the doctor, stores, work and more. For medical visits it goes up to 1 mile outside the city. $3 each way. Book by phone or with the app. | 10800 Farmington Road | Livonia | 48150 | (734) 466-2700 | https://livandgo.org | Rides Mon-Fri 7am-6:30pm; office Mon-Fri 6am-6pm | Adults 18 and older. Livonia residents, and others traveling inside Livonia. | https://livandgo.org/ | phone_label=Book a ride; notice=No rides when Livonia Public Schools close for bad weather, and none on major holidays.
Nankin Transit rides for seniors and people with disabilities | Nankin Transit Commission | transport | Curb-to-curb rides anywhere in Wayne, Westland, Inkster, Garden City and Canton, and up to 1 mile outside for work and medical visits. $3 one way; exact change or SMART tickets. Give 2 days' notice. | 32150 Dorsey | Westland | 48186 | 734-729-2710 | https://www.nankintransit.com | Rides Mon-Fri 8:30am-5pm; closed major holidays and Dec 25-Jan 1 | People 55 and older, and people with a disability of any age, who live in Wayne, Westland, Inkster, Garden City or Canton Township. | https://www.nankintransit.com/faqs/ | flags=seniors,disability; phone_label=Book a ride; notice=The van picks you up at the curb. The address is the office, not a pickup point.
# NOTE (lead, 2026-09-24): the booking line is printed "( 248)246-3914"; the page matcher reads that form since today, so it is the main phone.
Royal Oak rides for seniors and adults with disabilities | City of Royal Oak | transport | Door-to-door van rides in Royal Oak to the doctor, shopping and other trips. Suggested donation $3 one way or $5 round trip. Call 1 day to 2 weeks ahead; up to 4 rides a week. | | | | 248-246-3914 | https://www.romi.gov | Rides Mon-Fri 9am-3:30pm; call dispatch to book 9:30am-4pm | Royal Oak residents 60 and older, and adults with a permanent disability (a letter from your doctor is needed if you are under 60). | https://www.romi.gov/383/Transportation | flags=seniors,disability; phone_label=Book a ride; phone2=248-246-3900; phone2_label=Rides office (your doctor's office calls this number for your ride home)
Taylor senior rides to the doctor | City of Taylor | transport | Rides for Taylor seniors to and from medical visits in Taylor, $2. Also shuttles to Meijer, Walmart and Kroger, and rides to the senior center. Call at least 48 hours ahead. | | | | 313-291-7740 | https://www.cityoftaylor.com | Doctor rides Tue, Wed and Thu; appointments between 9am and 1pm. Call first. | Taylor seniors. | https://www.cityoftaylor.com/248/Senior-Services | flags=seniors; phone_label=William Ford Senior Activities Center
St. Clair Shores senior and disability rides | City of St. Clair Shores | transport | Curb-to-curb rides to the doctor, grocery store, bank and more. $1 each way in St. Clair Shores; $1.50 each way to medical offices within 8 miles. A caregiver rides free. No same-day rides. | 20000 Stephens St. | St. Clair Shores | 48080 | 586-498-2331 | https://www.scsmi.net | Rides Mon-Fri 8am-2pm; call to book Mon-Fri 8am-3pm | Seniors and adults with a disability who live in St. Clair Shores. Medical rides come first. | https://www.scsmi.net/290/Transportation-Services | flags=seniors,disability; phone_label=Book a ride; notice=The van picks you up at the curb. The address is the Senior Activity Center, not a pickup point. No rides when South Lake schools close for bad weather.
# NOTE: The Clinton Connect page is a page of the township's Senior Adult Life Center; it gives no rider eligibility. Rides are run by Richmond Lenox Community Transit for the township.
Clinton Connect bus, Clinton Township | Charter Township of Clinton | transport | Book rides to the doctor, shopping, work and the airport, up to 90 days ahead. The service area covers most of Macomb County. | 40730 Romeo Plank Road | Clinton Township | 48038 | 586-749-7713 | https://www.clintontownship.com | Rides 7am-7:30pm; call to book Mon-Fri 8am-4pm | | https://www.clintontownship.com/309/Clinton-Connect-Bus-Service | phone_label=Book a ride; notice=The address is the Senior Adult Life Center (586-286-9333), not a pickup point.
Sterling Heights Minibus | City of Sterling Heights | transport | Curb-to-curb minibus to medical visits, shopping, City programs and work. Book up to 2 weeks ahead; no same-day rides. | | | | 586-446-2757 | https://www.sterlingheights.gov | Rides Mon-Fri 8:30am-3:30pm; call to book Mon-Fri 9am-noon and 1pm-4pm | Sterling Heights residents over 55 who cannot drive, and residents with a disability. You must be able to get on and off the bus alone or bring a helper. | https://www.sterlingheights.gov/401/Sterling-Heights-Minibus-Service | flags=seniors,disability; phone_label=Book a ride
WOTA door-to-door rides | Western Oakland Transportation Authority | transport | Door-to-door rides for any adult 18 or older. Seniors, people with disabilities and veterans come first. $4 a stop; $2 for seniors and people with disabilities; free for veterans. You must register first. | | | | (248) 887-4979 | https://www.ridewota.org | Rides Mon-Fri 6am-9pm, Sat 8am-4pm, Sun 7:30am-3:30pm; call to book 8am-3:45pm | Adults who live in Waterford, White Lake, Highland, Holly, Rose or Groveland townships, Keego Harbor, Lake Angelus, Orchard Lake, Sylvan Lake, the Village of Holly or Walled Lake. | https://www.ridewota.org/ | flags=seniors,disability,veterans; phone_label=Book a ride
People's Express rides in Novi, Wixom and Commerce | People's Express | transport | Curb-to-curb rides in the People's Express area. Novi residents 55 and older or with a disability ride free inside the area; others pay $4 one way. Veterans ride free in Oakland County. Book at least 3 business days ahead. | | | | (877) 214-6073 | https://www.cityofnovi.org/transit/ | Rides weekdays 5am-9pm, Sat 5am-5pm, Sun 8am-5pm; call to book Mon-Fri 8am-7pm | Anyone 14 and older. Children under 14 need an adult. Novi, Wixom and Commerce Township residents. | https://www.cityofnovi.org/transit/ | flags=seniors,disability,veterans; phone_label=Book a ride
Troy R.Y.D.E. free rides | City of Troy | transport | Free rides in Troy to medical visits, grocery stores and work. Vehicles take wheelchairs. Right now it mostly books dialysis, medical and work trips. | | | | 248.457.1100 | https://troymi.gov | Rides Mon-Fri 8am-4pm; call to book Mon-Fri 8am-4pm | Troy residents 60 and older, and adults 18 and older with a disability. | https://troymi.gov/departments/public_works/troy_ryde.php | flags=seniors,disability; phone_label=Book a ride; notice=No rides when Troy Schools close for bad roads.
Farmington and Farmington Hills senior van | City of Farmington Hills | transport | Curb-to-curb van for medical visits, and shuttles to Busch's and Kroger. Vans take wheelchairs. $2 suggested donation each way. Book medical rides at least 1 week ahead. | | | | (248) 473-1864 | https://www.fhgov.com | Rides Mon-Fri 9am-3:30pm; call to book 8am-3pm | Adults 55 and older, and residents with a disability, who live in Farmington or Farmington Hills. | https://www.fhgov.com/play-explore-learn/adults-50-better/support-services/ | flags=seniors,disability; phone_label=Book a ride
Inkster senior rides | City of Inkster | transport | Rides to medical visits within 7 miles of Inkster, and grocery trips every Tuesday. Call the office to book. | | | | 313-561-2650 | https://www.cityofinkster.com | Medical rides Mon, Wed and Fri 8:30am-2pm; grocery trips Tuesdays. Call first. | Run by the City's Senior Services. | https://www.cityofinkster.com/263/Transportation | flags=seniors
Redford Dial-A-Ride | Charter Township of Redford | transport | Curb-to-curb bus rides for Redford residents to medical visits, work, shopping and more. $2 a ride for seniors and people with disabilities; $4 for adults 18 to 61. Cash only. Call at least 3 business days ahead. | | | | 313-387-2770 | https://www.redfordtwp.com | Rides Mon-Fri 8am-3pm | Redford residents. | https://www.redfordtwp.com/382/Redford-Dial-A-Ride | flags=seniors,disability; phone_label=Book a ride
Romulus Senior Center rides | City of Romulus | transport | Free rides for seniors to medical and personal visits, and weekly shopping trips to Meijer and Walmart. | 36525 Bibbins | Romulus | 48174 | 734-955-4120 | https://www.romulusgov.com | Senior Center open Mon-Fri 8am-4pm. Call to book a ride. | Romulus seniors. | https://www.romulusgov.com/434/Senior-Services | flags=seniors; notice=The address is the Senior Center, not a pickup point.
Wyandotte senior and disability bus | City of Wyandotte | transport | Bus and van rides in Wyandotte and Southgate to medical visits, school, shopping and more. $1.50 each way. Call at least 24 hours ahead. | | | | (734) 324-4522 | https://www.wyandotte.net | Rides weekdays 9am-1pm; call to book 8am-1pm | Wyandotte residents 55 and older, and people with a disability (a note from a medical provider is needed if you cannot drive because of a disability). | https://www.wyandotte.net/322/Copeland-Center-Senior-Events | flags=seniors,disability; phone_label=Book a ride
Madison Heights senior and disability rides | City of Madison Heights | transport | Rides for people who have no other way to get there. $2 round trip in Madison Heights; $4 round trip up to 7 miles from the Center. | 260 W 13 Mile Rd | Madison Heights | 48071 | 248-545-3464 | https://www.madison-heights.org | Call first | Madison Heights residents 50 and older, or with a disability, who have no transportation. | https://www.madison-heights.org/292/Transportation | flags=seniors,disability; phone_label=Active Adult Center; notice=The address is the Active Adult Center, not a pickup point.
# BROWSER: OPC rides for older adults — opccenter.org (the OPC's own site) answers scripts with a Sucuri 307 challenge, so this line uses the City of Rochester's own page about the OPC. A person should read the OPC's transportation page for who can ride and the cost.
OPC rides for older adults, Rochester | Older Persons' Commission | transport | The Older Persons' Commission offers rides, meals, adult day care and other help for older adults. Call to ask about a ride. | 650 Letica Drive | Rochester | 48307 | (248) 656-1403 | https://www.opcseniorcenter.org | Call first | Older adults. | https://www.rochestermi.org/96/Older-Persons-Commission | flags=seniors
Birmingham Next senior van | Birmingham Next | transport | Mini-van rides from home to medical, dental and personal visits, shopping, clubs or Next activities. $5 one way or $6 round trip. Call at least 3 days ahead. | 2121 Midvale Street | Birmingham | 48009 | 248-203-5270 | https://birminghamnext.org | Mini-van Mon-Thu 8am-5pm; Fri 8am-2:30pm. Call first. | People 55 and older, and people with a physical disability, who live in Birmingham, Bingham Farms, Beverly Hills or Franklin. | https://birminghamnext.org/support/transportation | flags=seniors,disability; notice=The van picks you up at home. The address is the Next office.
Auburn Hills 60+ rides | City of Auburn Hills | transport | Rides that start in Auburn Hills, to places within 5 miles of the city. $2 each way; help paying is there for those who qualify. Book medical visits at least 2 business days ahead. Weekly grocery trips too. | | | | 248-370-9353 | https://www.auburnhills.org | Pickups from 8am; no rides booked after 1:30pm; weekdays only. Call first. | Auburn Hills residents 60 and older, or with a disability. | https://www.auburnhills.org/departments/senior-services/support-services/60-transportation/ | flags=seniors,disability; phone_label=Senior Services
Ferndale SMART Transportation | City of Ferndale | transport | Curb-to-curb rides within 5 miles of Ferndale, with some hospitals farther. Vehicles take wheelchairs, scooters and walkers. Book 2 days ahead by leaving a voicemail. | | | | 248-914-2701 | https://www.ferndalemi.gov | Rides Mon-Thu 9am-3:30pm; Fri 9am-1pm | Any Ferndale resident. Children under 18 must ride with an adult. | https://www.ferndalemi.gov/Resources/Ride%20SMART%20Community%20Transportation%20Program | flags=seniors,disability; phone_label=Book a ride (leave a voicemail); phone2=248-546-2525; phone2_label=City Hall, ask for extension 535 to book a ride
NOTA door-to-door rides | North Oakland Transportation Authority | transport | Door-to-door rides for residents of its area, with seniors, people with disabilities, veterans and low-income riders first. Register first, then book at least 3 days ahead. Most vehicles take wheelchairs. | | | | (248) 693-7100 | https://www.ridenota.org | Rides Mon-Fri 6am-9pm; Sat 6:30am-4pm; Sun 7:30am-3:30pm; call to book Mon-Fri 8am-5pm | Residents of Orion, Oxford, Addison, Brandon, Independence and Springfield townships and the villages of Oxford, Orion, Clarkston and Leonard. | https://www.ridenota.org/ | flags=seniors,disability,veterans; phone_label=Press 2 for dispatch
Free rides for veterans, Oakland County | Oakland County Veterans' Services | transport | Free rides for veterans to anywhere in Oakland County. Also a free shuttle to the VA medical centers in Detroit and Ann Arbor from Pontiac, Troy and Southfield. Call at least 72 hours ahead. | 1200 N. Telegraph Rd Building 26E | Pontiac | 48341 | (248) 419-7984 | https://www.oakgov.com/government/veterans | VA shuttle: Tue-Fri, appointments between 10am and 2pm. Call first. | Veterans, with a DD214 or the same kind of proof. | https://www.oakgov.com/government/veterans/benefits-services/transportation-program | flags=veterans; phone_label=Book a free ride in Oakland County; phone2=248-821-0724; phone2_label=VA shuttle driver; notice=For the VA shuttle, be in the North Office Building (26 East) 2nd floor lobby in Pontiac before 8:30am.
Allen Park senior rides | City of Allen Park | transport | Rides to the doctor, hospital, bank, store, salon, library and more. $2 each way; $9 a year to sign up. Same-day rides for medical emergencies only, $3. | 15800 White Street | Allen Park | 48101 | 313-928-0771 | https://www.cityofallenpark.org | Rides Mon-Fri 8:30am-2:30pm | Allen Park residents 62 and older. | https://www.cityofallenpark.org/departments/parks_recreation/senior_citizen_services.php | flags=seniors; notice=The address is the Allen Park Community Center, not a pickup point.
RARE senior van, Eastpointe and Roseville | Recreation Authority of Roseville and Eastpointe | transport | Curb-to-curb van rides from 8 Mile to 15 Mile, Jefferson to Hoover. $2 round trip. Medical visits and shopping come first; up to 2 rides a week. No same-day rides. | 18185 Sycamore | Roseville | 48066 | (586) 445-5482 | https://rare-mi.org | Rides Mon-Fri 8:30am-3pm | Eastpointe and Roseville residents with no other way to get there who are 55 or older or have a permanent disability. | https://rare-mi.org/programs_events/seniors/smart_van_transportation.php | flags=seniors,disability; phone_label=Van rides; notice=The address is the Recreation Authority office, not a pickup point.
Mount Clemens Dial-A-Ride | City of Mount Clemens | transport | Curb-to-curb rides in Mount Clemens and nearby parts of Clinton Township. $3 one way; $1 for seniors 65 and older and people with disabilities. Calls not taken after 2:45pm. | 97 Eldredge | Mount Clemens | 48043 | 586-469-7433 | https://www.mountclemens.gov | Rides Mon-Fri 6:30am-3:30pm | Anyone. Children must ride with an adult 18 or older. | https://www.mountclemens.gov/public-transportation/ | flags=seniors,disability; phone_label=Book a ride
Shelby Township senior center bus | Charter Township of Shelby | transport | Bus rides to medical visits between 18 Mile and 27 Mile roads and Romeo Plank and Livernois, and to other visits in Shelby Township. 50 cents each way. | | | | 586-739-7540 | https://www.shelbytwp.org | Call first | The Senior Center is for adults 50 and older. | https://www.shelbytwp.org/government/departments/parks-and-recreation/parks-and-facilities/shelby-township-senior-center | flags=seniors; phone_label=Senior Center
# NOTE: The Dial-A-Ride page (https://www.harrison-township.org/resources/senior_center/dial-a-ride.php) only says to call the Tucker Senior Center for an application; source below is the Senior Center page, which shows the door and the same phone.
Harrison Township Dial-A-Ride | Charter Township of Harrison | transport | Dial-A-Ride bus from the Tucker Senior Center. Call the center to ask for an application. | 26980 Ballard Street | Harrison Township | 48045 | 586-466-1497 | https://www.harrison-township.org | Senior Center Mon-Fri 8:30am-4:30pm. Call first. | | https://www.harrison-township.org/residents/senior_center/index.php | flags=seniors; notice=Bus service stops when L'Anse Creuse schools close for bad weather.
PAATS bus for the Grosse Pointes and Harper Woods | The Helm at the Boll Life Center | transport | Pointe Area Assisted Transportation Services bus. $2 to $4 each way. Book at least 2 days ahead, by 3pm. | | | | 313.394.9712 | https://helmlife.org | Call first | Residents of Harper Woods or the Grosse Pointes who are 60 or older or have a disability. | https://helmlife.org/support-services/ | flags=seniors,disability; phone_label=PAATS
Hazel Park senior and disability rides | City of Hazel Park | transport | Rides for Hazel Park seniors and people with a physical disability. $1.50 each way or $3 round trip. | 620 West Woodward Heights | Hazel Park | | (248) 547-5535 | https://www.hazelpark.org | Rides Mon-Thu 8:30am-3pm | Hazel Park residents 55 and older, and people with a physical disability. | https://www.hazelpark.org/residents/senior_services.php | flags=seniors,disability; phone_label=Recreation Center; notice=The address is the Recreation Center, not a pickup point.
Berkley senior van | City of Berkley | transport | Van rides anywhere in Berkley to the doctor, pharmacy, salon and stores, plus Meijer trips. Wheelchair lift. Book 1 week to 2 months ahead. Suggested donation $3. | | | | 248-658-3470 | https://www.berkleymi.gov | Rides Mon-Fri 8:30am-4:30pm; book Mon-Thu 9am-11:30am | Berkley residents 50 and older who are retired or semi-retired, and residents with a disability. | https://www.berkleymi.gov/resources/transportation-van-service | flags=seniors,disability; phone_label=Ask for Transportation
Mutts 'n Meows pet food for older adults | The Helm at the Boll Life Center | pets | Free dog and cat food, cat litter and treats for older adults, so they can keep their pets at home. | 158 Ridge Road | Grosse Pointe Farms | 48236 | 313.882.9600 | https://helmlife.org | Call first | Older adults in the Grosse Pointes and Harper Woods. | https://helmlife.org/support-services/ | flags=seniors
Tech help for seniors, Westland Friendship Center | City of Westland | connect | Help with computers, tablets and smartphones at the City's senior center. Ask at the front desk. | 1119 N Newburgh Road | Westland | 48185 | 734-722-7628 | https://www.cityofwestland.com | Mon, Wed, Fri 9am-5pm; Tue, Thu 9am-7pm; Sat 9am-noon | Older adults. | https://www.cityofwestland.com/339/Senior-Programs-Services | flags=seniors
Free tech help for seniors, Clinton Township | Charter Township of Clinton | connect | Free help with the basics of your cell phone, and answers to tech questions from the library. | 40730 Romeo Plank Road | Clinton Township | 48038 | 586-286-9333 | https://www.clintontownship.com | Phone help 1st Wednesday 11am-noon; library tech help 2nd Monday 10am-11am | Senior Adult Life Center visitors. | https://www.clintontownship.com/306/Senior-Services | flags=seniors,walk_in
# BROWSER: TOSS rides for Southfield seniors — site refuses scripts (cityofsouthfield.com answers 403); read with WebFetch on 2026-09-24. A person should confirm the phone, address and fares on the page.
TOSS rides for Southfield seniors | City of Southfield | transport | Transportation of Southfield Seniors (TOSS): bus rides between 8 Mile and 14 Mile, Middlebelt to Coolidge. $5 round trip in cash on the bus, or $4 with a discount ticket. | 26000 Evergreen Road | Southfield | | (248) 796-4658 | https://www.cityofsouthfield.com | Rides Mon-Fri 8:30am-3:30pm; call to book Mon-Fri 8am-2pm | People 60 and older, and people of any age with a permanent physical disability. | https://www.cityofsouthfield.com/residents/seniors/services-seniors | flags=seniors,disability; phone_label=Book a ride; notice=The address is the Parks and Recreation Building, not a pickup point.

# ---- part: part-goods-assault.txt ----
# NOTE: Lighthouse's food page says the pantries give "food, personal care items, baby supplies, household items, and more" and names three pantries (Pontiac, Clarkston, Southfield); it does not list items site by site. Clarkston is outside the area. The page never uses the word "free" for these items, so the rows do not either.
Baby supplies at the Lighthouse pantry, Pontiac | Lighthouse | goods.baby | Baby supplies, like diapers, from the Lighthouse pantry. You can get pantry help once a month. Park near Door D and call to place your order. | 46156 Woodward Ave | Pontiac | 48342 | 248-920-6000 | https://lighthousemi.org | Mon, Wed, Fri 9:30am-3pm | Once a month. | https://lighthousemi.org/service/food-services/ | phone_label=Call ext. 2225 from Door D to order
Personal care items at the Lighthouse pantry, Pontiac | Lighthouse | goods.personal | Personal care items and household items from the Lighthouse pantry. You can get pantry help once a month. Park near Door D and call to place your order. | 46156 Woodward Ave | Pontiac | 48342 | 248-920-6000 | https://lighthousemi.org | Mon, Wed, Fri 9:30am-3pm | Once a month. | https://lighthousemi.org/service/food-services/ | phone_label=Call ext. 2225 from Door D to order
Baby supplies at the Lighthouse pantry, Southfield | Lighthouse | goods.baby | Baby supplies from the Lighthouse pantry at St. David's Episcopal Church. You can get pantry help once a month. | 16200 W 12 Mile Rd | Southfield | | 248-920-6000 | https://lighthousemi.org | Mon, Wed, Fri 9am-noon | Once a month. | https://lighthousemi.org/service/food-services/ | phone_label=Lighthouse main line
Personal care items at the Lighthouse pantry, Southfield | Lighthouse | goods.personal | Personal care items and household items from the Lighthouse pantry at St. David's Episcopal Church. You can get pantry help once a month. | 16200 W 12 Mile Rd | Southfield | | 248-920-6000 | https://lighthousemi.org | Mon, Wed, Fri 9am-noon | Once a month. | https://lighthousemi.org/service/food-services/ | phone_label=Lighthouse main line
Free baby closet, Project Hope Pontiac | Catholic Charities of Southeast Michigan | goods.baby | Free diapers, wipes, formula, baby food, baby clothes and blankets for moms, during pregnancy and after. Also pregnancy tests and parenting classes. | 76 Williams St. | Pontiac | 48341 | (248) 338-4250 | https://www.ccsem.org | Mon-Fri 8:30am-5pm | For moms who are pregnant or have a baby. Call first, or make an appointment. | https://ccsem.org/project-hope | phone_label=Ask for ext. 4133; flags=pregnant
# NOTE: Baldwin Center's services page (updated 9/23/26) says clothing is by phone for emergencies, with more clothing "may be available" on Wellness Wednesdays 10:30am-12:30pm, so the clothing row is call-first. The baby row's hours are the page's own "Ask for the Kitchen Manager Mondays, Wednesdays, and Fridays 11:00 a.m. - 1:00 p.m." The page also says Baldwin Avenue is under construction (come by northbound Cesar Chavez).
Clothes when you need them, Baldwin Center | Baldwin Center | goods.clothes | Clothes for an emergency: call first. More clothes may be out on Wellness Wednesdays. Winter hats and gloves in winter. | 212 Baldwin Ave. | Pontiac | 48342 | 248-332-6101 | https://baldwincenter.org | Call first. More clothing may be out on Wednesdays 10:30am-12:30pm. | | https://baldwincenter.org/services/ | notice=Baldwin Avenue is under construction. Come by northbound Cesar Chavez to Baldwin Avenue.
