id,label,number,sms,hardcoded,sort,area,verified_by_call_on,verified_published_on,mismatch_on,source_url,internal_note
emg_dwihn_care_center,"Walk in any time: DWIHN Care Center, 707 W. Milwaukee, Detroit",313-989-9444,,no,4.2,,,2026-09-26,,https://dwihn.org/programs-services/crisis-services,"24/7 walk-in crisis unit for mental health or substance use; no ID, insurance or appointment needed (DWIHN). A crisis unit, not a detox. Also listed as sal_dwihn_care_center (health.mental)."
emg_housing_oakland,"Housing help, weekdays (Oakland County)",248-269-1335,248-269-1335,no,2.6,,,2026-09-26,,https://communityhousingnetwork.org/get-help,"Community Housing Network, the Housing Resource Center that is Oakland County's intake for housing help (HARA; research 2026-09-24). NOT 24 hours: calls and texts Mon-Fri 8:30am-4:30pm, closed on holidays; text the word ""housing"". The page says it gives no emergency housing and sends urgent needs to 2-1-1. Toll-free 866-282-3119 on the same page. The county's own Oakland Connects Helpline (800-848-5533, weekdays) is the alternate: oaklandcountymi.gov/community/neighborhood-housing-development/help-with-housing/emergency-housing-support."
emg_housing_macomb,Housing crisis help (Macomb County),586-469-5656,,no,2.7,,,2026-09-26,,https://www.macombcoc.org/services-3,"Macomb Community Action, intake for the Macomb County Continuum of Care (MI-503), on the CoC's own page (research 2026-09-24). Hours are not stated; do not call it 24 hours. The county's own MCA pages list only 586-469-6999 and 586-469-5100."
emg_ochn_crisis,"Mental health and addiction help, 24 hours (OCHN, Oakland County)",888-238-0611,,no,4.05,,,2026-09-26,,https://oaklandchn.org/,"Oakland Community Health Network's own 24/7 crisis line; calls, chats or texts (research 2026-09-24). OCHN took crisis services in-house in mid-February 2026 (its news post of 2026-01-12); Common Ground still publishes its old number 800-231-1127 as its own Crisis Hub. oaklandchn.org answers scripts with HTTP 406, so check:emergency logs it as unreadable: a person checks it in a browser."
emg_mccmh_crisis,"Mental health crisis help, 24 hours (MCCMH, Macomb County)",586-307-9100,,no,4.06,,,2026-09-26,,https://www.mccmh.net/crisis-services/,"Macomb County Community Mental Health crisis line: 24/7, for everyone regardless of income or insurance, translation available (research 2026-09-24). The main line 855-996-2264 is 8am-8pm and is not the crisis line."
emg_haven,"Sexual assault help, 24 hours (HAVEN, Oakland County)",248-334-1274,,no,5.52,,,2026-09-26,,https://www.haven-oakland.org/,"HAVEN's 24-hour crisis support line, printed 248.334.1274; toll-free 877-922-1274 (research 2026-09-24). HAVEN also runs a domestic-violence shelter: never record an address for it anywhere (CLAUDE.md)."
emg_turning_point,"Sexual assault and abuse help, 24 hours (Turning Point, Macomb County)",586-463-6990,,no,5.53,,,2026-09-26,,https://turningpointmacomb.org/24-hour-hotline/,"Turning Point's 24/7/365 hotline for sexual violence, domestic violence and trafficking; ""anyone from anywhere can call"" (research 2026-09-24). Its site shows addresses: never copy one here or anywhere (CLAUDE.md)."
emg_police_allen_park,Allen Park Police Department,313-386-7800,,no,10,city_allen_park,,2026-09-26,,https://cityofallenpark.org/contact/city_directory.php,"Police for Allen Park when it is not an emergency (research 2026-09-24). City directory row labeled ""Police Department Main / Non-Emergency""; PD home page shows only the city hall number"
emg_police_auburn_hills,Auburn Hills Police Department,248-370-9444,,no,10,city_auburn_hills,,2026-09-26,,https://www.auburnhills.org/departments/police/,"Police for Auburn Hills when it is not an emergency (research 2026-09-24). labeled ""Non-Emergency Police and Fire Dispatch"""
emg_police_berkley,Berkley Public Safety Department,248-658-3380,,no,10,city_berkley,,2026-09-26,,https://www.berkleypublicsafety.org/dispatch.html,"Police for Berkley when it is not an emergency (research 2026-09-24). Berkley DPS's own domain (links to berkleymi.gov); labeled ""Non Emergency Calls ... Dispatch Center"""
emg_police_birmingham,Birmingham Police Department,248-530-1870,,no,10,city_birmingham,,2026-09-26,,https://www.bhamgov.org/about_birmingham/city_departments/police_department/index.php,"Police for Birmingham when it is not an emergency (research 2026-09-24). labeled ""(non-emergency)"""
emg_police_bloomfield_hills,Bloomfield Hills Public Safety Department,248-644-4200,,no,10,city_bloomfield_hills,,2026-09-26,,https://www.bloomfieldhills.gov/154/Public-Safety,"Police for Bloomfield Hills when it is not an emergency (research 2026-09-24). labeled ""Phone"" on the Public Safety page; city FAQ (bloomfieldhills.gov/faq.aspx?TID=46) says ""For all non-emergency dispatch, call the Police Department at 248-644-4200"""
emg_police_bloomfield_township,Bloomfield Township Police Department,248-433-7755,,no,10,city_bloomfield_township,,2026-09-26,,https://www.bloomfieldtwp.org/police,"Police for Bloomfield Township when it is not an emergency (research 2026-09-24). labeled ""for non-emergency situations"""
emg_police_center_line,Center Line Department of Public Safety,586-757-2200,,no,10,city_center_line,,2026-09-26,,https://www.centerline.gov/167/About-Public-Safety,"Police for Center Line when it is not an emergency (research 2026-09-24). Public safety dept (police+fire); labeled ""Phone"" beside ""Emergency Phone: 911"" - no explicit non-emergency label"
emg_police_chesterfield_township,Chesterfield Township Police Department,586-949-2322,,no,10,city_chesterfield_township,,2026-09-26,,https://chesterfieldpolice.org/contact-info/,"Police for Chesterfield Township when it is not an emergency (research 2026-09-24). labeled ""Police Department"" and ""please call dispatch at 586-949-2322""; records 586-949-2112"
emg_police_clawson,Clawson Police Department (dispatch contracted to Troy PD),248-524-3477,,no,10,city_clawson,,2026-09-26,,https://www.cityofclawson.com/your_government/police_department/index.php,"Police for Clawson when it is not an emergency (research 2026-09-24). labeled ""(Non-Emergency)""; this is Troy Dispatch (dispatch_services.php: ext. 1 for non-emergencies); Clawson PD desk 248-435-5000 also listed"
emg_police_clinton_township,Clinton Township Police Department,586-469-5502,,no,10,city_clinton_township,,2026-09-26,,https://clintontownship.com/281/Police,"Police for Clinton Township when it is not an emergency (research 2026-09-24). labeled ""Police Dispatch, non-emergency"" (Macomb County Sheriff/COMTEC dispatch line); station front desk 586-493-7802"
emg_police_commerce_township,"Oakland County Sheriff's Office, Commerce Township substation",248-858-4950,,no,10,city_commerce_township,,2026-09-26,,https://www.oaklandcountymi.gov/government/sheriff/ocso-organization/law-enforcement/substations/commerce-township,"Police for Commerce Township when it is not an emergency (research 2026-09-24). not a city PD; labeled ""911 Dispatch Non-Emergency""; same page lists ""Substation Non-Emergency"" 248-624-0715 (office line); oakgov.com URL redirects here"
emg_police_dearborn,Dearborn Police Department,313-943-2241,,no,10,city_dearborn,,2026-09-26,,https://dearborn.gov/government/police-fire/police-services/dearborn-police-department,"Police for Dearborn when it is not an emergency (research 2026-09-24). Labeled ""Patrol Division"" on this page; the city's 2024 phone-number PDF (dearborn.gov) lists 943-2241 as ""Non-Emergencies"" without area code; the About-DPD page gives Patrol Division as 313-943-2240 (which the PDF labels General Information) - a person should confirm"
emg_police_dearborn_heights,Dearborn Heights Police Department,313-277-6770,,no,10,city_dearborn_heights,,2026-09-26,,https://www.dearbornheightsmi.gov/315/Police-Department,"Police for Dearborn Heights when it is not an emergency (research 2026-09-24). Labeled ""Phone"" in the PD contact block (beside ""Emergency Phone: 911""); not labeled non-emergency"
emg_police_eastpointe,Eastpointe Police Department,586-777-6700,,no,10,city_eastpointe,,2026-09-26,,https://www.eastpointemi.gov/departments/public_safety/eastpointe_police_department/index.php,"Police for Eastpointe when it is not an emergency (research 2026-09-24). labeled ""SERESA Dispatch (non-emergency)""; front desk/business line 586-445-5100"
emg_police_ecorse,Ecorse Police Department,313-381-0900,,no,10,city_ecorse,,2026-09-26,,https://www.ecorsemi.gov/services/police/index.php,Police for Ecorse when it is not an emergency (research 2026-09-24). Listed under Police Chief contact on the PD page; records page gives 313-381-0900 #2; not labeled non-emergency; dispatch is Downriver Central Dispatch (Wyandotte)
emg_police_farmington,Farmington Public Safety Department,248-474-4700,,no,10,city_farmington,,2026-09-26,,https://farmgov.com/city-services/public-safety/contact-us/,"Police for Farmington when it is not an emergency (research 2026-09-24). labeled ""Non-emergency"""
emg_police_farmington_hills,Farmington Hills Police Department,248-871-2600,,no,10,city_farmington_hills,,2026-09-26,,https://www.fhgov.com/department-and-services/police/,"Police for Farmington Hills when it is not an emergency (research 2026-09-24). labeled ""Non-emergency"""
emg_police_ferndale,Ferndale Police Department,248-541-3650,,no,10,city_ferndale,,2026-09-26,,https://ferndalemi.gov/government/police,"Police for Ferndale when it is not an emergency (research 2026-09-24). labeled ""Non-Emergency"""
emg_police_fraser,Fraser Department of Public Safety,586-777-6700,,no,10,city_fraser,,2026-09-26,,https://www.frasercitymi.gov/Directory/Home/DepartmentListing?DID=12,"Police for Fraser when it is not an emergency (research 2026-09-24). labeled ""SERESA Non-Emergency ... Available 24/7""; admin office 586-293-2000"
emg_police_garden_city,Garden City Police Department,734-793-1700,,no,10,city_garden_city,,2026-09-26,,https://www.gardencitymi.org/206/Police-Department,"Police for Garden City when it is not an emergency (research 2026-09-24). Labeled ""Phone"" in the PD contact block (beside ""Emergency Phone: 911""); not labeled non-emergency"
emg_police_grosse_pointe,Grosse Pointe Public Safety Department,313-886-3200,,no,10,city_grosse_pointe,,2026-09-26,,https://www.grossepointecity.org/departments/public_safety/index.php,"Police for Grosse Pointe when it is not an emergency (research 2026-09-24). Public safety dept (police+fire); labeled ""Phone Number"" in the department contact block, printed under the Youth Division sergeant's entry; not labeled non-emergency - a person should confirm"
emg_police_grosse_pointe_farms,Grosse Pointe Farms Department of Public Safety,313-885-2100,,no,10,city_grosse_pointe_farms,,2026-09-26,,https://www.grossepointefarms.org/departments/public_safety_(police_fire)/index.php,"Police for Grosse Pointe Farms when it is not an emergency (research 2026-09-24). Public safety dept (police+fire), not a stand-alone PD; number labeled as the Director of Public Safety's phone; the dept FAQ page uses it as the department line; not labeled non-emergency"
emg_police_grosse_pointe_park,Grosse Pointe Park Department of Public Safety,313-822-7400,,no,10,city_grosse_pointe_park,,2026-09-26,,https://www.grossepointepark.org/187/Public-Safety,"Police for Grosse Pointe Park when it is not an emergency (research 2026-09-24). Public safety dept (police+fire); labeled ""24 hour a day non-emergency ... Dispatch Desk"""
emg_police_grosse_pointe_shores,Grosse Pointe Shores Department of Public Safety,313-881-5500,,no,10,city_grosse_pointe_shores,,2026-09-26,,https://www.gpshoresmi.gov/departments/public_safety/police.php,"Police for Grosse Pointe Shores when it is not an emergency (research 2026-09-24). labeled ""Non-Emergency Number"" (printed 313 / 881-5500); separate ""Dispatch Number"" 313-343-2410; municipality straddles Wayne and Macomb - one row"
emg_police_grosse_pointe_woods,Grosse Pointe Woods Department of Public Safety,313-343-2400,,no,10,city_grosse_pointe_woods,,2026-09-24,,https://www.gpwmi.us/publicsafety/custom-contact-page/public-safety-contact-information,"Police for Grosse Pointe Woods when it is not an emergency (research 2026-09-24). Public safety dept (police+fire); labeled ""Non-Emergency Ph"""
emg_police_hamtramck,Hamtramck Police Department,313-800-5281,,no,10,city_hamtramck,,2026-09-26,,https://hamtramckcity.gov/departments/police/,"Police for Hamtramck when it is not an emergency (research 2026-09-24). Labeled ""Hamtramck Police front desk ... (nonemergency)""; city phone directory also lists it (then press 0)"
emg_police_harper_woods,Harper Woods Department of Public Safety,313-343-2530,,no,10,city_harper_woods,,2026-09-26,,https://harperwoodscity.org/police-department/,"Police for Harper Woods when it is not an emergency (research 2026-09-24). Public safety dept; given as the Director's contact and ""Contact the Public Safety Department ... Call us at""; not labeled non-emergency; page footer 313-343-2500 is the office line"
emg_police_harrison_township,Macomb County Sheriff's Office,586-469-5502,,no,10,city_harrison_township,,2026-09-26,,https://www.macombgov.org/departments/sheriffs-office/dispatch-center,"Police for Harrison Township when it is not an emergency (research 2026-09-24). Macomb County Sheriff, contract patrol (no township PD); labeled ""Non-Emergency Dispatch Line""; page lists Harrison Township among communities dispatched; Harrison substation page (macombgov.org/harrison-township-substation-0) shows unlabeled 586-469-1098"
emg_police_hazel_park,Hazel Park Police Department,248-542-6161,,no,10,city_hazel_park,,2026-09-26,,https://www.hazelpark.org/i_want_to/police_department3/contact/index.php,"Police for Hazel Park when it is not an emergency (research 2026-09-24). labeled only ""Phone"" (PD main line; dept runs its own 24-hour dispatch); no explicit non-emergency label found"
emg_police_highland_park,Highland Park Police Department,313-852-7338,,no,10,city_highland_park,,2026-09-26,,https://www.highlandparkmi.gov/services/police-department/,"Police for Highland Park when it is not an emergency (research 2026-09-24). First number in the PD header (unlabeled); the city FAQ page (highlandparkmi.gov/faq/) labels 313-852-7338 ""non-emergency police services"""
emg_police_huntington_woods,Huntington Woods Public Safety Department,248-541-1180,,no,10,city_huntington_woods,,2026-09-26,,https://www.hwmi.org/departments/public_safety_(police___fire)/index.php,"Police for Huntington Woods when it is not an emergency (research 2026-09-24). labeled ""Phone""; page says non-emergency calls are answered 8:30-5 M-F; 911 dispatch is by Berkley"
emg_police_inkster,Inkster Police Department,313-563-9850,,no,10,city_inkster,,2026-09-24,,https://www.cityofinkstermi.gov/214/Police-Department,"Police for Inkster when it is not an emergency (research 2026-09-24). Labeled ""Phone"" on PD page; the Patrol page (cityofinkstermi.gov/228/Patrol) labels it ""calls of a non-emergency nature"""
emg_police_lathrup_village,Lathrup Village Police Department (dispatch by Southfield),248-354-1010,,no,10,city_lathrup_village,,2026-09-24,,https://www.lathrupvillage.org/page/public-safety,"Police for Lathrup Village when it is not an emergency (research 2026-09-24). labeled ""Southfield Dispatch (Non-Emergency)""; page is JS-rendered, number is in the page source JSON not the static visible text; PD main number 248-557-3600"
emg_police_lincoln_park,Lincoln Park Police Department,313-381-1800,,no,10,city_lincoln_park,,2026-09-26,,https://www.citylp.com/187/Police-Department,"Police for Lincoln Park when it is not an emergency (research 2026-09-24). Page: ""To report a non-emergency, call 313-381-1800""; also the PD's listed Phone"
emg_police_livonia,Livonia Police Department,734-466-2470,,no,10,city_livonia,,2026-09-26,,https://www.livoniapd.com/contact/,"Police for Livonia when it is not an emergency (research 2026-09-24). Labeled ""Police Department Main Phone"" on the PD's own site; livonia.gov FAQ (QID=217) labels the same number ""Non-Emergency Services"""
emg_police_macomb_township,Macomb County Sheriff's Office,586-469-5502,,no,10,city_macomb_township,,2026-09-26,,https://www.macomb-mi.gov/249/Sheriffs-Office,"Police for Macomb Township when it is not an emergency (research 2026-09-24). Macomb County Sheriff, contract patrol (no township PD); township's own page: non-emergency police report -> ""Sheriff's Office Dispatch Center""; sheriff main line 586-469-5151 also shown"
emg_police_madison_heights,Madison Heights Police Department,248-585-2100,,no,10,city_madison_heights,,2026-09-26,,https://www.madisonheightsmi.gov/230/Police,"Police for Madison Heights when it is not an emergency (research 2026-09-24). labeled only ""Phone"" (PD main line); FAQ page calls it the shift supervisor number; no explicit non-emergency label found"
emg_police_melvindale,Melvindale Police Department,313-429-1070,,no,10,city_melvindale,,2026-09-24,,https://melvindale.org/city-services/police-department/,"Police for Melvindale when it is not an emergency (research 2026-09-24). Page: ""If it is of an emergency nature please call 911. Otherwise call 313-429-1070""; page also says the PD uses Dearborn Dispatch for all emergency and non-emergency calls (no Dearborn dispatch number printed on the page)"
emg_police_mount_clemens,Macomb County Sheriff's Office,586-469-5502,,no,10,city_mount_clemens,,2026-09-26,,https://www.macombgov.org/departments/sheriffs-office/dispatch-center,"Police for Mount Clemens when it is not an emergency (research 2026-09-24). Macomb County Sheriff patrol (city site links police to MCSO; no city PD); labeled ""Non-Emergency Dispatch Line""; page lists Mt. Clemens among communities dispatched"
emg_police_new_baltimore,New Baltimore Police Department,586-725-2181,,no,10,city_new_baltimore,,2026-09-26,,https://www.cityofnewbaltimore.org/Directory.aspx?did=13,"Police for New Baltimore when it is not an emergency (research 2026-09-24). labeled ""Phone Number"" beside ""Emergency Phone 911"" on city staff directory police page - no explicit non-emergency label; newbaltimorepolice.org redirects to city site"
emg_police_novi,Novi Police Department,248-348-7100,,no,10,city_novi,,2026-09-26,,https://cityofnovi.org/services/public-safety/police/,"Police for Novi when it is not an emergency (research 2026-09-24). labeled ""Non-emergency, contact 248-348-7100 at anytime"""
emg_police_oak_park,Oak Park Department of Public Safety,248-691-7520,,no,10,city_oak_park,,2026-09-26,,https://www.oakparkmi.gov/departments/public-safety,"Police for Oak Park when it is not an emergency (research 2026-09-24). labeled ""Phone Numbers"" beside ""Emergencies: Dial 911"" (department line; no explicit non-emergency label); old /departments/public_safety/index.php URL returns 403"
emg_police_orion_township,"Oakland County Sheriff's Office, Orion Township Substation",248-858-4950,,no,10,city_orion_township,,2026-09-26,,https://www.oaklandcountymi.gov/government/sheriff/ocso-organization/law-enforcement/substations/orion-township,Police for Orion Township when it is not an emergency (research 2026-09-24). OCSO (no township PD); labeled 'Dispatch Non-Emergency' (24/7 county dispatch); same page lists 'Substation Non-Emergency' 248-393-0090 (lobby 8:30am-4:30pm)
emg_police_pleasant_ridge,Pleasant Ridge Police Department,248-541-2900,,no,10,city_pleasant_ridge,,2026-09-26,,https://cityofpleasantridge.org/pleasant-ridge-police/,Police for Pleasant Ridge when it is not an emergency (research 2026-09-24). labeled 'Non-Emergency'; answered 24/7
emg_police_pontiac,"Oakland County Sheriff's Office, Pontiac Patrol Division",248-858-4950,,no,10,city_pontiac,,2026-09-26,,https://www.oaklandcountymi.gov/government/sheriff/ocso-organization/law-enforcement/city-of-pontiac,"Police for Pontiac when it is not an emergency (research 2026-09-24). OCSO under contract (no city PD); labeled 'Dispatch Non-Emergency'; same page lists 'Substation Non-Emergency' 248-409-7100 (110 E Pike St, lobby 24/7)"
emg_police_redford_township,Redford Township Police Department,313-387-2551,,no,10,city_redford_township,,2026-09-26,,https://www.redfordtwp.gov/195/Police-Department,"Police for Redford Township when it is not an emergency (research 2026-09-24). Labeled ""non-emergency telephone number"" (also listed as After Hours Number); township PD, not a city PD; main Phone 313-387-2500 on same page"
emg_police_river_rouge,River Rouge Public Safety Department (Police),313-842-8700,,no,10,city_river_rouge,,2026-09-26,,https://cityofriverrouge.net/pages/departments/police.php,"Police for River Rouge when it is not an emergency (research 2026-09-24). Labeled ""Police & Fire Dispatchers (313) 842-8700 ext 01""; combined police/fire public safety department; cityofriverrouge.com redirects to cityofriverrouge.net; the page has no line labeled non-emergency"
emg_police_riverview,Riverview Police Department,734-281-4222,,no,10,city_riverview,,2026-09-26,,https://www.cityofriverview.com/departments/police_department/index.php,"Police for Riverview when it is not an emergency (research 2026-09-24). Labeled ""Non-Emergency"""
emg_police_rochester,Rochester Police Department,248-651-9621,,no,10,city_rochester,,2026-09-26,,https://rochestermi.org/135/City-Phone-Numbers,Police for Rochester when it is not an emergency (research 2026-09-24). labeled 'Police (Non-emergency)' on the city phone-numbers page
emg_police_rochester_hills,"Oakland County Sheriff's Office, Rochester Hills Patrol Division",248-858-4950,,no,10,city_rochester_hills,,2026-09-26,,https://www.oaklandcountymi.gov/government/sheriff/ocso-organization/law-enforcement/city-of-rochester-hills,Police for Rochester Hills when it is not an emergency (research 2026-09-24). OCSO under contract (no city PD); labeled 'Dispatch Non-Emergency'; same page lists 'Substation Non-Emergency' 248-537-3530
emg_police_romulus,Romulus Police Department,734-941-8400,,no,10,city_romulus,,2026-09-26,,https://www.romulusgov.com/168/Police,"Police for Romulus when it is not an emergency (research 2026-09-24). Labeled ""Phone"" in the PD contact block; no line labeled non-emergency on the page"
emg_police_roseville,Roseville Police Department,586-777-6700,,no,10,city_roseville,,2026-09-26,,https://www.roseville-mi.gov/200/Police,"Police for Roseville when it is not an emergency (research 2026-09-24). labeled ""If you need an officer to respond to a non-emergency incident, call the Dispatch Center""; general info 586-447-4483"
emg_police_royal_oak,Royal Oak Police Department,248-246-3500,,no,10,city_royal_oak,,2026-09-26,,https://www.romi.gov/304/Police,Police for Royal Oak when it is not an emergency (research 2026-09-24). labeled 'Phone' (no 'non-emergency' label on the PD page); romi.gov/1485/Public-Safety says call the Police Department at this number for non-emergencies
emg_police_royal_oak_township,"Michigan State Police, Metro North Post",248-584-5740,,no,10,city_royal_oak_township,,2026-09-26,,https://www.royaloaktwp.com/index.php/services/police,"Police for Royal Oak Township when it is not an emergency (research 2026-09-24). MSP (no township PD); number from the township's own police page, labeled 'Michigan State Police Metro North Post Non-Emergency'; MSP's own post list (michigan.gov/msp) unreadable (403)"
emg_police_southfield,Southfield Police Department,248-796-5500,,no,10,city_southfield,,2026-09-26,,https://www.cityofsouthfield.com/departments/police-department/contact-us,Police for Southfield when it is not an emergency (research 2026-09-24). labeled 'Non-Emergency'
emg_police_southfield_township,Beverly Hills Department of Public Safety,248-540-3400,,no,10,city_southfield_township,,2026-09-26,,https://www.villagebeverlyhills.com/how_do_i/contact.php,"Police for Southfield Township when it is not an emergency (research 2026-09-24). Township has no police; its three villages are served separately. Row is Village of Beverly Hills (largest), labeled 'Police' on the village contact page (beverlyhillspolice.com says call it 'to reach dispatch'). Franklin and Bingham Farms: Franklin-Bingham Farms PD, 'Non-Emergency Police Assistance' 248-626-5444 at https://www.franklin.mi.us/departments/police_department/index.php"
emg_police_southgate,Southgate Police Department,734-324-4438,,no,10,city_southgate,,2026-09-26,,https://www.southgatemi.gov/departments/police/about/index.php,"Police for Southgate when it is not an emergency (research 2026-09-24). Labeled ""Police Non-Emergency""; same number Wyandotte publishes as its non-emergency (likely a shared Downriver dispatch line); PD directory 734-258-3060 on same page"
emg_police_st_clair_shores,St. Clair Shores Police Department,586-777-6700,,no,10,city_st_clair_shores,,2026-09-26,,https://www.scsmi.net/240/Police,"Police for St. Clair Shores when it is not an emergency (research 2026-09-24). labeled ""Non-emergency Dispatch""; non-emergency front desk 586-445-5300 opt. 1"
emg_police_sterling_heights,Sterling Heights Police Department,586-446-2800,,no,10,city_sterling_heights,,2026-09-26,,https://www.sterlingheights.gov/466/Police-Department,"Police for Sterling Heights when it is not an emergency (research 2026-09-24). labeled ""Non-Emergency Police Dispatch""; front desk 586-446-2801"
emg_police_sylvan_lake,Sylvan Lake Police Department,248-682-2104,,no,10,city_sylvan_lake,,2026-09-26,,https://www.sylvanlake.org/residents/police_department/index.php,Police for Sylvan Lake when it is not an emergency (research 2026-09-24). labeled 'non emergency'; answered 24 hours
emg_police_taylor,Taylor Police Department,734-287-6611,,no,10,city_taylor,,2026-09-26,,https://www.cityoftaylor.com/347/Police,"Police for Taylor when it is not an emergency (research 2026-09-24). Labeled ""Non Emergency Line"" in the page's Police Department contact block (fire HQ's separate non-emergency 734-374-1355 is also on the page; not used)"
emg_police_trenton,Trenton Police Department,734-676-3737,,no,10,city_trenton,,2026-09-26,,https://www.trentonmi.org/537/Police-Department,"Police for Trenton when it is not an emergency (research 2026-09-24). Labeled ""Phone"" in the Police Station contact block; no line labeled non-emergency on the page"
emg_police_troy,Troy Police Department,248-524-3477,,no,10,city_troy,,2026-09-26,,https://troymi.gov/departments/police/index.php,Police for Troy when it is not an emergency (research 2026-09-24). labeled 'Non-Emergency'; site prints it as 248.524.3477
emg_police_utica,Utica Police Department,586-731-2345,,no,10,city_utica,,2026-09-26,,https://www.cityofutica.org/departments/utica_police/index.php,"Police for Utica when it is not an emergency (research 2026-09-24). labeled ""Non Emergency Number"" and ""non-emergency questions ... contact our dispatch"""
emg_police_walled_lake,Walled Lake Police Department,248-624-3111,,no,10,city_walled_lake,,2026-09-26,,https://walledlake.us/index.php/contact-the-police-department,Police for Walled Lake when it is not an emergency (research 2026-09-24). labeled 'DISPATCH' (administration is 248-624-3120)
emg_police_warren,Warren Police Department,586-574-4700,,no,10,city_warren,,2026-09-26,,https://www.cityofwarren.org/departments/police-department/,"Police for Warren when it is not an emergency (research 2026-09-24). labeled ""Police Department (non-emergency)"""
emg_police_waterford_township,Waterford Township Police Department,248-618-7550,,no,10,city_waterford_township,,2026-09-26,,https://www.waterfordmi.gov/192/Citizens-Online-Police-Reporting-System,Police for Waterford Township when it is not an emergency (research 2026-09-24). labeled 'Dispatch Center'; PD home page (waterfordmi.gov/162/Police) also gives it for reporting suspicious activity and lists 248-674-0351 as the department 'Phone' (records is prompt 4)
emg_police_wayne,Wayne Police Department,734-721-1414,,no,10,city_wayne,,2026-09-26,,https://www.cityofwayne.com/159/Police,"Police for Wayne when it is not an emergency (research 2026-09-24). Labeled ""Police Non-Emergency"" (also the PD's listed Phone)"
emg_police_west_bloomfield_township,West Bloomfield Township Police Department,248-975-9200,,no,10,city_west_bloomfield_township,,2026-09-26,,https://www.wbtownship.org/government/departments/police/police.php,Police for West Bloomfield Township when it is not an emergency (research 2026-09-24). labeled 'Non-Emergency'
emg_police_westland,Westland Police Department,734-722-9600,,no,10,city_westland,,2026-09-26,,https://www.cityofwestland.com/258/Police-Department,"Police for Westland when it is not an emergency (research 2026-09-24). Labeled ""Phone"" in the PD contact block; no line labeled non-emergency on the page"
emg_police_white_lake_township,White Lake Township Police Department,248-698-4400,,no,10,city_white_lake_township,,2026-09-24,,https://www.whitelaketwp.com/police,Police for White Lake Township when it is not an emergency (research 2026-09-24). labeled 'Non-Emergency Phone'
emg_police_wyandotte,Wyandotte Police Department,734-324-4438,,no,10,city_wyandotte,,2026-09-26,,https://www.wyandottemi.gov/faq.aspx?TID=30,"Police for Wyandotte when it is not an emergency (research 2026-09-24). City FAQ (animal control topic) says ""Wyandotte Police Department non-emergency number at 734-324-4438""; the PD page https://www.wyandottemi.gov/195/Police-Department lists main Phone 734-324-4405 and no non-emergency label; same number as Southgate's non-emergency (likely shared Downriver dispatch)"
