sal_id,record_ref,name,address_1,city,zip,lat,lon,phone,website,hours_text,extra,source_id,source_last_edited,fetched_at
sal_wws_detroit_the_people_s_action,,The People's Action,,Detroit,,42.4290525,-83.2495904,,https://www.thepeoplesaction.org/,24 hrs,"Station_Type=Newsstand; Access_247=Yes; Box_Location=Outdoors, in front of the building; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_detroit_wayne_county_community_college_district_eastern_,,Wayne County Community College District - Eastern Campus,,Detroit,,42.3942689,-82.9867681,,https://www.wcccd.edu/,Not open 24 hours; the County's map says usually Monday-Friday during normal business hours,"Station_Type=Vending Machine; Access_247=No; Box_Location=Indoors, located in the atrium adjacent to the Administration Office, enter through the St. Jean Entrance which is across from free parking; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_detroit_wayne_county_community_college_district_northwes,,Wayne County Community College District - Northwest Campus,,Detroit,,42.4210488,-83.2233901,,https://www.wcccd.edu/,Not open 24 hours; the County's map says usually Monday-Friday during normal business hours,"Station_Type=Vending Machine; Access_247=No; Box_Location=Indoors, in the Denise Wellons Glover Welcome Center Student Lounge; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_detroit_wayne_county_criminal_justice_complex,,Wayne County Criminal Justice Complex,,Detroit,,42.3644661,-83.0528025,,https://www.waynecounty.com/cjc/home.aspx,,"Station_Type=Vending Machines, Newsstands; Access_247=No, No, Yes, Yes; Box_Location1=Indoors, past main entrance under the stairs, near employee entrance; Box_Location2=Indoors, past main entrance, near elevators; Box_Location3=Outdoors, to the left of the JDF entrance, near the East (staff) parking lot; Box_Location4=Outdoors, in the courtyard to the right of the tether check-in, near the East (staff); Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_detroit_wayne_county_medical_examiner_s_office,,Wayne County Medical Examiner's Office,,Detroit,,42.3613876,-83.0512943,,https://www.waynecounty.com/departments/hhvs/medical-examiner.aspx,24 hrs,"Station_Type=Newsstand; Access_247=Yes; Box_Location=Outdoors, to the left of the revolving door; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_detroit_wayne_state_university_student_center,,Wayne State University Student Center,,Detroit,,42.3581984,-83.0710359,,,Not open 24 hours; the County's map says usually Monday-Friday during normal business hours,"Station_Type=Newsstand; Access_247=No; Box_Location=Indoors, on the second floor of the Student Center, near the drinking fountains; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_hamtramck_al_salam_supermarket,,Al Salam Supermarket,,Hamtramck,,42.4026878,-83.0677701,,,24 hrs,"Station_Type=Newsstand; Access_247=Yes; Box_Location=Outdoors, next to the building and facing Fleming Street; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_hamtramck_hamtramck_city_hall,,Hamtramck City Hall,,Hamtramck,,42.3993937,-83.0524565,,https://hamtramckcity.gov/,Not open 24 hours; the County's map says usually Monday-Friday during normal business hours,"Station_Type=Vending machine; Access_247=No; Box_Location=Indoors, in the main lobby; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_hamtramck_hamtramck_city_market,,Hamtramck City Market,,Hamtramck,,42.3900584,-83.0536309,,,24 hrs,"Station_Type=Newsstand; Access_247=Yes; Box_Location=Outdoors, on the far-left side of the building, facing Joseph Campau Rd; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_hamtramck_national_association_of_yemeni_americans,,National Association of Yemeni Americans,,Hamtramck,,42.4019045,-83.0617635,,https://mynaya.org/,24 hrs,"Station_Type=Newsstand; Access_247=Yes; Box_Location=Outdoors, next to the main entrance; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_hamtramck_wayne_county_healthy_communities_fqhc,,Wayne County Healthy Communities (FQHC),,Hamtramck,,42.3913940,-83.0554765,,https://www.waynecountyhealthy.com/,Not open 24 hours; the County's map says usually Monday-Friday during normal business hours,"Station_Type=Vending Machine; Access_247=No; Box_Location=Indoors, patient/visitor waiting room; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_highland_park_ruth_ellis_health_and_wellness_center,,Ruth Ellis Health and Wellness Center,,Highland Park,,42.4073814,-83.0950636,,https://www.ruthelliscenter.org/,Not open 24 hours; the County's map says usually Monday-Friday during normal business hours,"Station_Type=Vending Machine; Access_247=No; Box_Location=Indoors, via the door on the left labeled “Health and Wellness Center”, located in the front lobby; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
sal_wws_highland_park_villa_at_the_park,,Villa at the Park,,Highland Park,,42.4041808,-83.1009295,,https://villaatthepark.com/,24 hrs,"Station_Type=Newsstand; Access_247=Yes; Box_Location=Outdoors, on the left side of the building facing Second St and Ford St; Supplies=Naloxone (Narcan®), Fentanyl Testing Strips, Xylazine Testing Strips",wayne_well_wayne_stations,2026-09-14,2026-09-20
