sal_id,record_ref,name,address_1,zip,lat,lon,phone,website,hours_text,extra,source_id,source_last_edited,fetched_at
sal_cfm_1000_sainte_anne_st,Sainte Anne's Pantry|1000 Sainte Anne St,Sainte Anne's Pantry,1000 Sainte Anne St,48216,42.320540,-83.076540,313-496-1701,,"3rd Wednesdays of the month, from 10:00am-12:00pm",Type=Pantry; council_district=6; neighborhood_name=Hubbard Richard,city_food_map,2025-11-21,2026-09-26
sal_cfm_12920_e_warren_ave,ICNA Relief Muslim Family Services|12920 E Warren Ave,ICNA Relief Muslim Family Services,12920 E Warren Ave,48215,42.392050,-82.967430,313-366-6800,,"2nd Saturday of the month, 11:00am-1:00pm",Type=Pantry; council_district=4; neighborhood_name=Fox Creek,city_food_map,2025-11-21,2026-09-26
sal_cfm_12935_w_buena_vista_st,Gospel Tabernacle (Drive-Up) Food Pantry|12935 W Buena Vista St,Gospel Tabernacle (Drive-Up) Food Pantry,12935 W Buena Vista St,48227,42.383100,-83.171540,248-518-0876,,"1st and 3rd Saturdays of the month, from 12:00pm-2:00pm (while supplies last)",Type=Pantry; council_district=7; neighborhood_name=Grand River-I96,city_food_map,2025-11-21,2026-09-26
sal_cfm_13200_fenelon_st,Laskey Recreational Center (Drive-up only)|13200 Fenelon St,Laskey Recreational Center (Drive-up only),13200 Fenelon St,48212,42.413500,-83.052060,313-628-2030,,Drive Up Every other Wednesday 1:30pm - 2:30pm,Type=Pantry; council_district=3; neighborhood_name=Buffalo Charles,city_food_map,2025-11-21,2026-09-26
sal_cfm_1333_park_ave,Detroit Area Agency on Aging|1333 Park Ave,Detroit Area Agency on Aging,1333 Park Ave,0,42.336100,-83.052190,313-446-4444 ext:5604 (meal Line),,"Lunch Meal Program, 1 meal per day for 5 days. Christmas and Thanksgiving meal program, must register through the meal line number.",Type=Hot Meal; council_district=6; neighborhood_name=Downtown,city_food_map,2025-11-21,2026-09-26
sal_cfm_13501_rosa_parks_blvd,Greater Quinn A.M.E.|13501 Rosa Parks Blvd,Greater Quinn A.M.E.,13501 Rosa Parks Blvd,48238,42.396500,-83.113670,313-867-8380,,Mon-Fri 9:00am - 3:00pm,council_district=2; neighborhood_name=Oakman Blvd Community,city_food_map,2025-11-21,2026-09-26
sal_cfm_13560_e_mcnichols_rd,Matrix Human Services|13560 E McNichols Rd,Matrix Human Services,13560 E McNichols Rd,48205,42.426530,-82.984530,313 526-4000,,"Every 2nd and 4th Tuesday of each month, from 2:00pm-5:00pm",council_district=4; neighborhood_name=Gratiot-Findlay,city_food_map,2025-11-21,2026-09-26
sal_cfm_13624_stout_st,City Covenant Church|13624 Stout St,City Covenant Church,13624 Stout St,48223,42.385480,-83.240630,313-535-1084,,"Monday-Thursdays, from 12:00pm - 3:00pm",Type=Hot Meal; council_district=1; neighborhood_name=Brightmoor,city_food_map,2025-11-21,2026-09-26
sal_cfm_14000_w_seven_mile,Project Healthy Community - Meyers|14000 W Seven Mile,Project Healthy Community - Meyers,14000 W Seven Mile,48235,42.431230,-83.184270,248-892-4585,,"4th Thursday of every month, from 8:30am-11:00am. Also from 8:30am-11:00am on Nov. 26 and Dec. 18.",Type=Pantry; council_district=2; neighborhood_name=Schaefer 7/8 Lodge,city_food_map,2025-11-21,2026-09-26
sal_cfm_14000_w_seven_mile_rd,Hartford Memorial Baptist Church|14000 W Seven Mile Rd,Hartford Memorial Baptist Church,14000 W Seven Mile Rd,48235,42.431230,-83.184270,313-861-1285,,Mondays 11:30-4:00pm and Wednesdays 7:30am-12:00pm,Type=Pantry; council_district=2; neighborhood_name=Schaefer 7/8 Lodge,city_food_map,2025-11-21,2026-09-26
sal_cfm_14001_linwood_st,Linwood Church of Christ|14001 Linwood St,Linwood Church of Christ,14001 Linwood St,48238,42.397180,-83.125170,313-868-7795,,"2nd Saturday of each Month, 12:00-2:00pm",council_district=2; neighborhood_name=Oakman Blvd Community,city_food_map,2025-11-21,2026-09-26
sal_cfm_14350_tireman_ave,Islamic Center of Detroit|14350 Tireman Ave,Islamic Center of Detroit,14350 Tireman Ave,48228,42.351920,-83.183930,313-584-4143,,Saturdays from 1:00pm - 5:00pm,Type=Pantry; council_district=7; neighborhood_name=Joy-Schaefer,city_food_map,2025-11-21,2026-09-26
sal_cfm_14450_burt_rd,Gompers/Brightmoor Alliance|14450 Burt Rd,Gompers/Brightmoor Alliance,14450 Burt Rd,48223,42.392300,-83.246130,313-494-7495,,"2nd & 4th Fridays of the month, from 9:00am-11:30am",Type=Pantry; council_district=1; neighborhood_name=Brightmoor,city_food_map,2025-11-21,2026-09-26
sal_cfm_14531_grand_river_ave,Caring Community Center|14531 Grand River Ave,Caring Community Center,14531 Grand River Ave,48227,42.388310,-83.188110,313-836-4987,,"1st Saturday of every month, from 10:00am-12:00pm",council_district=1; neighborhood_name=Cadillac Community,city_food_map,2025-11-21,2026-09-26
sal_cfm_1500_scotten_st,Fresh Market at West International H.S.|1500 Scotten St,Fresh Market at West International H.S.,1500 Scotten St,48209,42.318880,-83.091130,1-866-GLEANER (453-2637),,Wednesdays - Drive Up from 4:30pm - 6:30pm,council_district=6; neighborhood_name=Hubbard Farms,city_food_map,2025-11-21,2026-09-26
sal_cfm_15000_trojan_st,Jalen Rose Leadership Academy|15000 Trojan St,Jalen Rose Leadership Academy,15000 Trojan St,48235,42.442050,-83.194570,313-397-3333,,Wednesdays 11:30am-1:00pm,Type=Pantry; council_district=2; neighborhood_name=Schaefer 7/8 Lodge,city_food_map,2025-11-21,2026-09-26
sal_cfm_15042_burt_rd,Nexus Detroit|15042 Burt Rd,Nexus Detroit,15042 Burt Rd,48223,42.398670,-83.246750,313-451-2703,,Wednesdays from 2:00pm-6:00pm,Type=Pantry; council_district=1; neighborhood_name=Brightmoor,city_food_map,2025-11-21,2026-09-26
sal_cfm_15325_gratiot_ave,Lift Up a Child at Greater St. Paul|15325 Gratiot Ave,Lift Up a Child at Greater St. Paul,15325 Gratiot Ave,48205,42.447610,-82.970370,586-541-8339,,"1st and 3rd Thursdays of the month, from 2:00pm-4:00pm",Type=Pantry; council_district=3; neighborhood_name=Mohican Regent,city_food_map,2025-11-21,2026-09-26
sal_cfm_15361_plymouth_rd,Scott Memorial UM Church|15361 Plymouth Rd,Scott Memorial UM Church,15361 Plymouth Rd,48227,42.372320,-83.195880,313-836-6301,,"3rd Thursdays of the month, from 12:00pm-2:00pm.",Type=Pantry; council_district=7; neighborhood_name=Plymouth-Hubbell,city_food_map,2025-11-21,2026-09-26
sal_cfm_15811_rosa_parks_blvd,Greater Northwest Church|15811 Rosa Parks Blvd,Greater Northwest Church,15811 Rosa Parks Blvd,48238,42.409350,-83.118700,313-345-9111,,Wednesdays from 8:30am to 11:00am,council_district=2; neighborhood_name=Pilgrim Village,city_food_map,2025-11-21,2026-09-26
sal_cfm_15879_e_7_mile_rd,Deo Gratias Ministries Detroit|15879 E 7 Mile Rd,Deo Gratias Ministries Detroit,15879 E 7 Mile Rd,48205,42.436040,-82.956670,313-743-0477,,"Appt required, Tuesdays and Fridays from 10:00am-2:00pm",council_district=3; neighborhood_name=Regent Park,city_food_map,2025-11-21,2026-09-26
sal_cfm_15924_fenkell_st,Micah Nevah Non-Profit Corporation|15924 Fenkell St,Micah Nevah Non-Profit Corporation,15924 Fenkell St,48227,42.401580,-83.203460,,,"Thursdays and Fridays, from 10:00am - 4:00pm",Type=Pantry; council_district=1; neighborhood_name=Crary/St Marys,city_food_map,2025-11-21,2026-09-26
sal_cfm_16129_plymouth_rd,Freedom Ain't Free|16129 Plymouth Rd,Freedom Ain't Free,16129 Plymouth Rd,48227,42.372260,-83.204250,,,,council_district=7; neighborhood_name=Joy Community,city_food_map,2025-11-21,2026-09-26
sal_cfm_17101_w_seven_mile,First Baptist Institute|17101 W Seven Mile,First Baptist Institute,17101 W Seven Mile,48235,42.429770,-83.212150,313-835-5477,,Wednesdays from 9:00am - 11:00am,council_district=2; neighborhood_name=College Park,city_food_map,2025-11-21,2026-09-26
sal_cfm_1721_junction_st,Holy Redeemer Food Pantry|1721 Junction St,Holy Redeemer Food Pantry,1721 Junction St,48209,42.317130,-83.102260,313-842-3450,,Tuesdays from 11:00am to 12:00pm,Type=Pantry; council_district=6; neighborhood_name=Central Southwest,city_food_map,2025-11-21,2026-09-26
sal_cfm_18020_hoover_st,Grace Church of the Nazarene|18020 Hoover St,Grace Church of the Nazarene,18020 Hoover St,48205,42.427460,-83.003580,(313) 527-4944,,"2nd and 4th Fridays of the month, from 9:00am-12:00pm",Type=Pantry; council_district=3; neighborhood_name=Von Steuben,city_food_map,2025-11-21,2026-09-26
sal_cfm_18211_plymouth_rd,New Providence Baptist Church|18211 Plymouth Rd,New Providence Baptist Church,18211 Plymouth Rd,48228,42.370360,-83.218070,313-837-0818,,Tuesdays 8:30am - 11:30am,council_district=7; neighborhood_name=Franklin Park,city_food_map,2025-11-21,2026-09-26
sal_cfm_1829_pilgrim_st,12th Street Missionary Baptist Church|1829 Pilgrim St,12th Street Missionary Baptist Church,1829 Pilgrim St,48238,42.407630,-83.117880,313-868-2659,,"Every other Friday starting Nov. 7, from 10:00am-12:00pm and 1:00pm-3:00pm",Type=Pantry; council_district=2; neighborhood_name=Pilgrim Village,city_food_map,2025-11-21,2026-09-26
sal_cfm_18301_john_r_st,God's Storehouse|18301 John R St,God's Storehouse,18301 John R St,48203,42.426290,-83.102340,313-867-1234,,Tuesdays and Saturdays from 8:00am-11:30am,Type=Pantry; council_district=2; neighborhood_name=Grixdale Farms,city_food_map,2025-11-21,2026-09-26
sal_cfm_18474_binder_st,Pilgrim Baptist Church - Survival|18474 Binder St,Pilgrim Baptist Church - Survival,18474 Binder St,48234,42.428480,-83.063600,(313) 893-1386,,Thursdays from 9:00am-12:00pm,Type=Pantry; council_district=3; neighborhood_name=Conant Gardens,city_food_map,2025-11-21,2026-09-26
sal_cfm_18641_wyoming_st,Redeemed Christian Fellowship|18641 Wyoming St,Redeemed Christian Fellowship,18641 Wyoming St,48221,42.428430,-83.161170,313-208-2537,,Wednesdays 1:00pm-2:00pm,council_district=2; neighborhood_name=Schulze,city_food_map,2025-11-21,2026-09-26
sal_cfm_18801_joseph_campau_st,Conant Gardens|18801 Joseph Campau St,Conant Gardens,18801 Joseph Campau St,48234,42.431320,-83.073150,313-369-1227,,Tuesdays from 10:00am - 11:45am,council_district=3; neighborhood_name=Northeast Central District,city_food_map,2025-11-21,2026-09-26
sal_cfm_18966_greenfield_rd,The Really Living Corp|18966 Greenfield Rd,The Really Living Corp,18966 Greenfield Rd,48235,42.429620,-83.199510,www.thereallylivingcorp.com,,Mondays and Thursdays 10:00am-12:00pm,Type=Pantry; council_district=2; neighborhood_name=Winship,city_food_map,2025-11-21,2026-09-26
sal_cfm_19190_schaefer_hwy,Greater Emmanuel Institutional Church of God|19190 Schaefer Hwy,Greater Emmanuel Institutional Church of God,19190 Schaefer Hwy,48235,42.432210,-83.180170,313-864-7170,,3rd Saturday of the month,council_district=2; neighborhood_name=Greenwich,city_food_map,2025-11-21,2026-09-26
sal_cfm_19470_lenore_ave,SDM2 Education Project|19470 Lenore Ave,SDM2 Education Project,19470 Lenore Ave,48219,42.434060,-83.281110,313-918-9050,,Tuesdays from 1:00pm - 3:00pm,Type=Pantry; council_district=1; neighborhood_name=Five Points,city_food_map,2025-11-21,2026-09-26
sal_cfm_1961_e_lafayette_st,Unify Detroit/St. John Presbyterian Church|1961 E Lafayette St,Unify Detroit/St. John Presbyterian Church,1961 E Lafayette St,48207,42.340020,-83.029090,313-567-0213,,"3rd Friday of every month, from 9:00am-1:00pm",Type=Pantry; council_district=5; neighborhood_name=Elmwood Park,city_food_map,2025-11-21,2026-09-26
sal_cfm_19800_pembroke_ave,Corpus Christi Parish|19800 Pembroke Ave,Corpus Christi Parish,19800 Pembroke Ave,48219,42.437090,-83.238310,313-537-5770,,By app. only; Thursdays,council_district=1; neighborhood_name=O'Hair Park,city_food_map,2025-11-21,2026-09-26
sal_cfm_20011_grand_river_ave,Pure Word Bapt Church|20011 Grand River Ave,Pure Word Bapt Church,20011 Grand River Ave,48219,42.408210,-83.238240,313-531-2900,,Wednesdays 10:00am-1:00pm and Fridays 10:00am-12:00pm,council_district=1; neighborhood_name=Miller Grove,city_food_map,2025-11-21,2026-09-26
sal_cfm_20225_fenkell_st,Northwestern Community Baptist Church|20225 Fenkell St,Northwestern Community Baptist Church,20225 Fenkell St,48223,42.400330,-83.240330,313-533-5664,,Thursdays from 8:30am-while supplies last,Type=Pantry; council_district=1; neighborhood_name=Brightmoor,city_food_map,2025-11-21,2026-09-26
sal_cfm_20405_schoolcraft_st,Mission City Food Pantry|20405 Schoolcraft St,Mission City Food Pantry,20405 Schoolcraft St,48223,42.385890,-83.241210,313-541-3531,,2nd and 4th Friday of the month from 1:00pm-3:00pm,Type=Pantry; council_district=1; neighborhood_name=Brightmoor,city_food_map,2025-11-21,2026-09-26
sal_cfm_20740_grand_river_ave,Brightmoor Connection|20740 Grand River Ave,Brightmoor Connection,20740 Grand River Ave,48219,42.412080,-83.245890,313-740-7688,,"Monday, Tuesday 2-7pm (Last client with appointment seen at 6:30)",Type=Pantry; council_district=1; neighborhood_name=McNichols Evergreen,city_food_map,2025-11-21,2026-09-26
sal_cfm_2080_w_grand_blvd,Tabernacle Missionary Baptist|2080 W Grand Blvd,Tabernacle Missionary Baptist,2080 W Grand Blvd,48208,42.356850,-83.107790,313-899-8943,,Wednesdays 10:00am - while supplies last,Type=Pantry; council_district=5; neighborhood_name=NW Goldberg,city_food_map,2025-11-21,2026-09-26
sal_cfm_21001_moross_rd,My Father’s Business Outreach Ministries|21001 Moross Rd,My Father’s Business Outreach Ministries,21001 Moross Rd,48236,42.424310,-82.926070,313-882-3000,,"2nd and 4th Saturday of each month, from 9:00am-11:00am",council_district=4; neighborhood_name=Cornerstone Village,city_food_map,2025-11-21,2026-09-26
sal_cfm_21230_moross_rd,Crossroads - East|21230 Moross Rd,Crossroads - East,21230 Moross Rd,48236,42.422160,-82.924880,313-822-5200,,Sundays 11:00am-2:00pm,Type=Hot Meal; council_district=4; neighborhood_name=Cornerstone Village,city_food_map,2025-11-21,2026-09-26
sal_cfm_22303_fenkell_st,St. Christine Christian Services|22303 Fenkell St,St. Christine Christian Services,22303 Fenkell St,48223,42.400000,-83.260730,313-543-1527,,Tuesdays from 12:00pm-2:30pm,Type=Pantry; council_district=1; neighborhood_name=Brightmoor,city_food_map,2025-11-21,2026-09-26
sal_cfm_23_e_adams_ave,Central United Methodist Church|23 E Adams Ave,Central United Methodist Church,23 E Adams Ave,48226,42.337360,-83.050650,313-965-5422,,"Mondays - Thursdays, 10:30am - 2:00pm",Type=Hot Meal; council_district=6; neighborhood_name=Downtown,city_food_map,2025-11-21,2026-09-26
sal_cfm_231_e_grand_blvd,Church of Messiah|231 E Grand Blvd,Church of Messiah,231 E Grand Blvd,48207,42.350470,-83.004810,313-567-1158,,"Wednesdays from 10:00am-12:00pm, Saturdays from 8:00am-10:30am",Type=Pantry; council_district=5; neighborhood_name=Islandview,city_food_map,2025-11-21,2026-09-26
sal_cfm_2411_iroquois_st,Iroquois Ave Christ Lutheran Church|2411 Iroquois St,Iroquois Ave Christ Lutheran Church,2411 Iroquois St,48214,42.362240,-82.997900,313-921-2667,,"2nd, 3rd, & 4th Friday of the Month from 9:30am to 12:00pm",council_district=5; neighborhood_name=Indian Village,city_food_map,2025-11-21,2026-09-26
sal_cfm_24230_w_mcnichols_rd,Developing K.I.D.S.|24230 W McNichols Rd,Developing K.I.D.S.,24230 W McNichols Rd,48219,42.414790,-83.279110,1-888-294-6554,,Every Tuesday 10:00am - 1:00pm (Ticket # given around 8:45 AM) (Line starts at 9 AM),council_district=1; neighborhood_name=The Eye,city_food_map,2025-11-21,2026-09-26
sal_cfm_2424_w_grand_blvd,Crossroads - West|2424 W Grand Blvd,Crossroads - West,2424 W Grand Blvd,48208,42.361470,-83.095880,313-831-2000,,Sundays Hot Meals served from 11:00am-2:00pm. Wednesdays walk-up groceries from 11:00am-1:00pm,"Type=Pantry, Hot Meal; council_district=5; neighborhood_name=NW Goldberg",city_food_map,2025-11-21,2026-09-26
sal_cfm_2760_e_grand_blvd,Triumph Church|2760 E Grand Blvd,Triumph Church,2760 E Grand Blvd,48211,42.374980,-83.061780,313-386-8044,,"1st and 3rd Fridays of the month, from 9:00am - 11:00am",Type=Pantry; council_district=5; neighborhood_name=North End,city_food_map,2025-11-21,2026-09-26
sal_cfm_3000_conner_st,Salvation Army - Conner Creek Corps|3000 Conner St,Salvation Army - Conner Creek Corps,3000 Conner St,48215,42.379800,-82.964630,313-822-2800,,"Pantry is appointment only Monday - Friday from 9:00am-4:30pm, drive-up pantry on Mondays from 12:00pm-1:00pm",Type=Pantry; council_district=4; neighborhood_name=Riverbend,city_food_map,2025-11-21,2026-09-26
sal_cfm_3225_s_deacon_st,New Mt Hermon|3225 S Deacon St,New Mt Hermon,3225 S Deacon St,48217,42.262020,-83.157910,313-928-2828,,Call phone number for up-to-date hours,council_district=6; neighborhood_name=Boynton,city_food_map,2025-11-21,2026-09-26
sal_cfm_3301_23rd_st,Core City Neighborhoods|3301 23rd St,Core City Neighborhoods,3301 23rd St,48208,42.333890,-83.092550,313-721-7608,,"Tuesdays and Thursdays, from 3:00pm - 6:00pm",Type=Pantry; council_district=6; neighborhood_name=Chadsey Condon,city_food_map,2025-11-21,2026-09-26
sal_cfm_3451_rivard_st,Sacred Heart Church/Saint Vincent|3451 Rivard St,Sacred Heart Church/Saint Vincent,3451 Rivard St,0,42.350610,-83.045150,313-831-1356,,3rd Wednesday of the month from 10:00am - 12:00pm,council_district=5; neighborhood_name=Eastern Market,city_food_map,2025-11-21,2026-09-26
sal_cfm_3553_w_vernor_hwy,MiSide (Drive-up only)|3553 W Vernor Hwy,MiSide (Drive-up only),3553 W Vernor Hwy,48216,42.323150,-83.087580,313-481-3102,,Every other Thursday from 1:30pm - 2:30pm,council_district=6; neighborhood_name=Mexicantown,city_food_map,2025-11-21,2026-09-26
sal_cfm_3729_w_chicago_st,Salvation Army Temple|3729 W Chicago St,Salvation Army Temple,3729 W Chicago St,48206,42.372730,-83.120950,313-897-2914,,Thursdays from 10:00am to 11:30am,council_district=7; neighborhood_name=Nardin Park,city_food_map,2025-11-21,2026-09-26
sal_cfm_3735_harding_st,Salvation Army Harding|3735 Harding St,Salvation Army Harding,3735 Harding St,48214,42.376400,-82.986180,313-822-2800,,Pantry is appointment only Monday - Friday from 9:00am-3:00pm,council_district=4; neighborhood_name=East Canfield,city_food_map,2025-11-21,2026-09-26
sal_cfm_4001_29th_st,New Paradigm (Drive-up only)|4001 29th St,New Paradigm (Drive-up only),4001 29th St,48210,42.334750,-83.110090,,,Every other Friday from 9:00am - 10:00am,Type=Pantry; council_district=6; neighborhood_name=Chadsey Condon,city_food_map,2025-11-21,2026-09-26
sal_cfm_438_saint_antoine_st,Pope Francis Center|438 Saint Antoine St,Pope Francis Center,438 Saint Antoine St,48226,42.331970,-83.038260,313-964-2823,,"Breakfast only, served Monday - Saturday at 7:00am-11:00am",Type=Hot Meal; council_district=5; neighborhood_name=Downtown,city_food_map,2025-11-21,2026-09-26
sal_cfm_4390_conner_st,Capuchin Soup Kitchen - Conner Street Soup Kitchen|4390 Conner St,Capuchin Soup Kitchen - Conner Street Soup Kitchen,4390 Conner St,48215,42.386640,-82.969640,313-822-8606,,"Monday - Saturday Breakfast from 8:30am-9:30am, lunch from 11:00am-1:00pm, Monday - Friday Dinner from 4:00pm-5:00pm",Type=Hot Meal; council_district=4; neighborhood_name=Fox Creek,city_food_map,2025-11-21,2026-09-26
sal_cfm_4626_grand_river_ave,Michigan Veterans Foundation|4626 Grand River Ave,Michigan Veterans Foundation,4626 Grand River Ave,48208,42.347370,-83.083010,313-831-5500,,Wednesdays from 11:00am - 1:00pm,council_district=6; neighborhood_name=Woodbridge,city_food_map,2025-11-21,2026-09-26
sal_cfm_5050_saint_antoine_st,Unify Detroit/Bethel A.M.E. Church|5050 Saint Antoine St,Unify Detroit/Bethel A.M.E. Church,5050 Saint Antoine St,48202,42.360640,-83.057140,313-831-8810,,"2nd & 4th Wednesday of each month, from 1:00pm - 3:00pm",Type=Pantry; council_district=5; neighborhood_name=Cultural Center,city_food_map,2025-11-21,2026-09-26
sal_cfm_5370_mckinley_st,Bailey Temple|5370 McKinley St,Bailey Temple,5370 McKinley St,48208,42.347420,-83.105590,(313) 334-8320,,Tuesdays from 12:30pm-2:30pm and Sundays from 12:30pm-1pm,council_district=6; neighborhood_name=Chadsey Condon,city_food_map,2025-11-21,2026-09-26
sal_cfm_5715_holcomb_ave,Bethel Baptist Church|5715 Holcomb Ave,Bethel Baptist Church,5715 Holcomb Ave,48213,42.385030,-83.006310,313-923-3060,,"Monday, Tuesday, Friday, from 9:30am-5:00pm",council_district=5; neighborhood_name=Gratiot Woods,city_food_map,2025-11-21,2026-09-26
sal_cfm_5900_mcclellan_st,Nativity of Our Lord Church|5900 McClellan St,Nativity of Our Lord Church,5900 McClellan St,48213,42.388170,-83.005010,313-922-0033,,Thursdays from 1:00pm-4:00pm,council_district=4; neighborhood_name=West End,city_food_map,2025-11-21,2026-09-26
sal_cfm_5900_saint_lawrence_st,Food Hub @ St. Cunegunda (Drive-up only)|5900 Saint Lawrence St,Food Hub @ St. Cunegunda (Drive-up only),5900 Saint Lawrence St,48210,42.337030,-83.147180,313-843-4714,,"Mondays, Tuesdays, and Wednesdays by appointment",Type=Pantry; council_district=6; neighborhood_name=Claytown,city_food_map,2025-11-21,2026-09-26
