candidate_id,category,name,address_1,city,zip,lat,lon,phone,place_id,county,source_dataset,source_url,source_last_edited,placed_by,record_ref,note,fetched_at
sal_hrsa_family_medicine_center,health.clinic,Family Medicine Center,461 W Huron St,Pontiac,48341,42.631572,-83.309072,248-724-7600,city_pontiac,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-014941,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types; website=www.honorcommunityhealth.org,2026-09-24
sal_hrsa_ferndale_lower_elementary_empowerment_zone,health.clinic,Ferndale Lower Elementary Empowerment Zone,23501 Rosewood St,Oak Park,48237,42.463529,-83.163323,248-548-1950,city_oak_park,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-039709,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=School; a school-based site may serve only students,2026-09-24
sal_hrsa_greenfield,health.clinic,Greenfield,"23077 Greenfield Rd, Suite 400",Southfield,48075,42.460088,-83.202202,313-822-9801 ext. 3,city_southfield,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-LAL-017140,"health_center=HEALTH CENTERS DETROIT FOUNDATION, INC; type=Federally Qualified Health Center (FQHC) Look-Alike; setting=All Other Clinic Types; website=hcdmg.org",2026-09-24
sal_hrsa_groesbeck,health.clinic,Groesbeck,43740 N Groesbeck Hwy,Clinton Township,48036,42.617773,-82.883502,586-493-0961,city_clinton_township,Macomb,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-013295,health_center=MYCARE HEALTH CENTER; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types; website=www.mycarehealthcenter.org,2026-09-24
sal_hrsa_herrington_empowerment_zone,health.clinic,Herrington Empowerment Zone,541 Bay St,Pontiac,48342,42.653539,-83.255752,248-724-7600,city_pontiac,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-041094,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=School; a school-based site may serve only students,2026-09-24
sal_hrsa_joslyn_smile_center,health.clinic,Joslyn Smile Center,816 Joslyn Ave,Pontiac,48340,42.660325,-83.279627,248-724-7600,city_pontiac,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-014948,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types; website=www.honorcommunityhealth.org,2026-09-24
sal_hrsa_mason_middle_school_empowerment_zone,health.clinic,Mason Middle School Empowerment Zone,3825 W Walton Blvd RM B,Waterford,48329,42.690063,-83.365400,248-724-7600,city_waterford_township,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-029850,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=School; a school-based site may serve only students; website=www.honorcommunityhealth.org,2026-09-24
sal_hrsa_mount_clemens,health.clinic,Mount Clemens,18 Market St,Mount Clemens,48043,42.598431,-82.875455,586-783-2222,city_mount_clemens,Macomb,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-013157,health_center=MYCARE HEALTH CENTER; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types; website=www.mycarehealthcenter.org,2026-09-24
sal_hrsa_north_oakland_health_center,health.clinic,North Oakland Health Center,1200 N Telegraph Rd,Pontiac,48341,42.657555,-83.327960,248-724-7600,city_pontiac,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-031494,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types; website=www.honorcommunityhealth.org,2026-09-24
sal_hrsa_orchard_lake_center,health.clinic,Orchard Lake Center,114 Orchard Lake Rd,Pontiac,48341,42.634885,-83.295608,248-724-7600,city_pontiac,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-014946,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types; website=www.honorcommunityhealth.org,2026-09-24
sal_hrsa_owen_empowerment_zone,health.clinic,Owen Empowerment Zone,1700 Baldwin Ave,Pontiac,48340,42.682343,-83.301279,248-724-7600,city_pontiac,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-034287,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=School; a school-based site may serve only students; website=www.honorcommunityhealth.org,2026-09-24
sal_hrsa_plum_hollow_center,health.clinic,Plum Hollow Center,22200 W 9 Mile Rd,Southfield,48033,42.457830,-83.263093,248-724-7600,city_southfield,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-019418,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types; website=www.honorcommunityhealth.org,2026-09-24
sal_hrsa_pontiac_high_school_health_center,health.clinic,Pontiac High School Health Center,1051 Arlene Ave,Pontiac,48340,42.667511,-83.269311,248-724-7600,city_pontiac,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-020821,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=School; a school-based site may serve only students; website=www.honorcommunityhealth.org,2026-09-24
sal_hrsa_pontiac_middle_school_health_center,health.clinic,Pontiac Middle School Health Center,1275 N Perry St,Pontiac,48340,42.665853,-83.267462,248-724-7600,city_pontiac,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-020823,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=School; a school-based site may serve only students; website=www.honorcommunityhealth.org,2026-09-24
sal_hrsa_south_oakland_health_center,health.clinic,South Oakland Health Center,27725 Greenfield Rd,Southfield,48076,42.494868,-83.203997,248-724-7600,city_southfield,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-031906,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types; website=www.honorcommunityhealth.org,2026-09-24
sal_hrsa_summit_center,health.clinic,Summit Center,600 N Telegraph Rd,Pontiac,48341,42.646695,-83.325260,248-724-7600,city_pontiac,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-041810,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types,2026-09-24
sal_hrsa_the_philip_henry_center,health.clinic,The Philip Henry Center,48980 Woodward Ave,Pontiac,48342,42.642585,-83.298086,248-724-7600,city_pontiac,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-039820,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types,2026-09-24
sal_hrsa_the_wellness_plan_medical_center_pontiac,health.clinic,The Wellness Plan Medical Center - Pontiac,46156 Woodward Ave,Pontiac,48342,42.630169,-83.287846,248-897-0900,city_pontiac,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-020837,health_center=THE WELLNESS PLAN; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types; website=www.wellplan.com,2026-09-24
sal_hrsa_the_wellness_plan_northwest_medical_center,health.clinic,"The Wellness Plan, Northwest Medical Center",21040 Greenfield Rd,Oak Park,48237,42.447917,-83.199858,248-968-6500,city_oak_park,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-011545,health_center=THE WELLNESS PLAN; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types; website=www.wellplan.com,2026-09-24
sal_hrsa_waterford_school_health_center,health.clinic,Waterford School Health Center,501 N Cass Lake Rd,Waterford,48328,42.646580,-83.356934,248-724-7600,city_waterford_township,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-020822,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=School; a school-based site may serve only students; website=www.honorcommunityhealth.org,2026-09-24
sal_hrsa_wchc_garden_city_health_center,health.clinic,WCHC- Garden City Health Center,6255 Inkster Rd,Garden City,48135,42.332280,-83.314202,313-871-1926,city_garden_city,Wayne,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-041250,health_center=COUNTY OF WAYNE; type=Federally Qualified Health Center (FQHC); setting=Hospital; website=https://www.waynecountyhealthy.com/,2026-09-24
sal_hrsa_wchc_wayne_health_center,health.clinic,WCHC - Wayne Health Center,33030 Van Born Rd,Wayne,48184,42.267807,-83.363641,734-858-1940,city_wayne,Wayne,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-017949,health_center=COUNTY OF WAYNE; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types; website=https://www.waynecountyhealthy.com/,2026-09-24
sal_hrsa_western_wayne_family_health_center,health.clinic,Western Wayne Family Health Center,26650 Eureka Rd,Taylor,48180,42.197639,-83.297842,313-561-5100,city_taylor,Wayne,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-008279,health_center=WESTERN WAYNE FAMILY HEALTH CENTERS; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types; website=wwfhc.org,2026-09-24
sal_hrsa_western_wayne_family_health_center_26650_eureka_rd_ste_,health.clinic,Western Wayne Family Health Center,26650 Eureka Rd STE E,Taylor,48180,42.196725,-83.297767,734-941-4991,city_taylor,Wayne,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-019642,health_center=WESTERN WAYNE FAMILY HEALTH CENTERS; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types,2026-09-24
sal_hrsa_western_wayne_family_health_center_2700_hamlin_blvd,health.clinic,WESTERN WAYNE FAMILY HEALTH CENTER,2700 Hamlin Blvd,Inkster,48141,42.291372,-83.311634,313-561-5100,city_inkster,Wayne,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-015376,health_center=WESTERN WAYNE FAMILY HEALTH CENTERS; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types,2026-09-24
sal_hrsa_western_wayne_southwest_center,health.clinic,Western Wayne Southwest Center,25650 Outer Dr,Lincoln Park,48146,42.263997,-83.170715,734-941-4991,city_lincoln_park,Wayne,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-013734,health_center=WESTERN WAYNE FAMILY HEALTH CENTERS; type=Federally Qualified Health Center (FQHC); setting=All Other Clinic Types,2026-09-24
sal_hrsa_whitman_empowerment_zone,health.clinic,Whitman Empowerment Zone,125 W Montcalm St RM 101,Pontiac,48342,42.656768,-83.305197,248-724-7600,city_pontiac,Oakland,HRSA Health Center Service Delivery and Look-Alike Sites,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,2026-09-24,coordinate,BPS-H80-030189,health_center=OAKLAND INTEGRATED HEALTHCARE NETWORK; type=Federally Qualified Health Center (FQHC); setting=School; a school-based site may serve only students; website=www.honorcommunityhealth.org,2026-09-24
